"","Player","Span","Mat","Inns","Dis","Ct","St","Ct_Wk","Ct_Fi","MD","DI"
"133","Samiullah Shinwari (AFG)","2016-2020","24","24","9","9","0","0","9","1 (1ct 0st)","0.375"
"134","SM Sharif (SCOT)","2017-2019","22","22","9","9","0","0","9","2 (2ct 0st)","0.409"
"135","Suraj Kumar (OMAN)","2019-2020","16","16","9","7","2","7","0","2 (2ct 0st)","0.562"
"136","AJ Tye (AUS)","2017-2020","25","24","9","9","0","0","9","2 (2ct 0st)","0.375"
"137","DS Airee (NEPAL)","2018-2020","21","21","8","8","0","0","8","1 (1ct 0st)","0.380"
"138","Asghar Afghan (AFG)","2016-2021","37","37","8","8","0","0","8","2 (2ct 0st)","0.216"
"139","F Behardien (SA)","2016-2018","14","14","8","8","0","0","8","2 (2ct 0st)","0.571"
"140","DG Blampied (JER)","2019-2019","17","17","8","8","0","0","8","2 (2ct 0st)","0.470"
"141","TK Curran (ENG)","2017-2021","28","27","8","8","0","0","8","1 (1ct 0st)","0.296"
"142","GJ Delany (IRE)","2019-2020","23","23","8","8","0","0","8","2 (2ct 0st)","0.347"
"143","S Dube (INDIA)","2019-2020","13","12","8","8","0","0","8","2 (2ct 0st)","0.666"
"144","F du Plessis (SA/World)","2016-2020","19","19","8","8","0","0","8","2 (2ct 0st)","0.421"
"145","JN Frylinck (NAM)","2019-2019","14","14","8","8","0","0","8","2 (2ct 0st)","0.571"
"146","RR Hendricks (SA)","2017-2021","23","23","8","8","0","0","8","2 (2ct 0st)","0.347"
"147","SS Iyer (INDIA)","2017-2021","28","26","8","8","0","0","8","1 (1ct 0st)","0.307"
"148","Karan KC (NEPAL)","2018-2020","23","23","8","8","0","0","8","2 (2ct 0st)","0.347"
"149","Kuldeep Yadav (INDIA)","2017-2020","21","20","8","8","0","0","8","2 (2ct 0st)","0.400"
"150","BR McDermott (AUS)","2018-2019","12","11","8","8","0","0","8","3 (3ct 0st)","0.727"
"151","DJ Mitchell (NZ)","2019-2020","12","12","8","8","0","0","8","2 (2ct 0st)","0.666"
"152","M Mosehle (SA)","2017-2017","7","7","8","6","2","6","0","3 (2ct 1st)","1.142"
"153","Muhammad Usman (UAE)","2016-2020","28","28","8","8","0","0","8","1 (1ct 0st)","0.285"
"154","S Muniandy (MAL)","2019-2020","24","23","8","8","0","0","8","3 (3ct 0st)","0.347"
"155","HG Munsey (SCOT)","2017-2019","25","25","8","8","0","0","8","2 (2ct 0st)","0.320"
"156","Mustafizur Rahman (BDESH)","2016-2020","31","31","8","8","0","0","8","3 (3ct 0st)","0.258"
"157","Nouman Sarwar (QAT)","2019-2019","14","14","8","8","0","0","8","2 (2ct 0st)","0.571"
"158","MK Pandey (INDIA)","2016-2020","37","37","8","8","0","0","8","2 (2ct 0st)","0.216"
"159","Rameez Shahzad (UAE)","2016-2019","22","22","8","8","0","0","8","2 (2ct 0st)","0.363"
"160","WB Rankin (IRE)","2017-2020","28","28","8","8","0","0","8","1 (1ct 0st)","0.285"
"161","AU Rashid (ENG)","2016-2021","43","42","8","8","0","0","8","2 (2ct 0st)","0.190"
"162","Ravinderpal Singh (CAN)","2019-2019","12","12","8","8","0","0","8","2 (2ct 0st)","0.666"
"163","KD Shah (HKG)","2019-2020","20","20","8","8","0","0","8","3 (3ct 0st)","0.400"
"164","T Shamsi (SA)","2017-2021","28","28","8","8","0","0","8","2 (2ct 0st)","0.285"
"165","MD Shanaka (SL)","2016-2020","32","31","8","8","0","0","8","2 (2ct 0st)","0.258"
"166","DJM Short (AUS)","2018-2020","23","22","8","8","0","0","8","2 (2ct 0st)","0.363"
"167","Usman Patel (KUW)","2020-2020","5","5","8","6","2","6","0","4 (4ct 0st)","1.600"
"168","A Vala (PNG)","2017-2019","20","20","8","8","0","0","8","1 (1ct 0st)","0.400"
"169","RE van der Merwe (NL)","2017-2019","22","22","8","8","0","0","8","2 (2ct 0st)","0.363"
"170","Washington Sundar (INDIA)","2017-2021","30","28","8","8","0","0","8","1 (1ct 0st)","0.285"
"171","DJ Willey (ENG)","2016-2019","22","22","8","8","0","0","8","2 (2ct 0st)","0.363"
"172","KOK Williams (WI)","2016-2020","26","26","8","8","0","0","8","1 (1ct 0st)","0.307"
"173","Aamir Kaleem (OMAN)","2019-2020","17","17","7","7","0","0","7","2 (2ct 0st)","0.411"
"174","Aqib Ilyas (OMAN)","2017-2019","17","17","7","7","0","0","7","2 (2ct 0st)","0.411"
"175","TA Boult (NZ)","2017-2021","23","23","7","7","0","0","7","3 (3ct 0st)","0.304"
