"","Player","Span","Mat","Inns","Dis","Ct","St","Ct_Wk","Ct_Fi","MD","DI"
"312","Rahmanullah Gurbaz (AFG)","2019-2021","11","11","5","4","1","4","0","2 (1ct 1st)","0.454"
"313","J Rasu (VAN)","2019-2019","13","13","5","5","0","0","5","1 (1ct 0st)","0.384"
"314","D Ravu (PNG)","2019-2019","17","17","5","5","0","0","5","1 (1ct 0st)","0.294"
"315","R Rohan (SGP)","2019-2020","13","13","5","5","0","0","5","1 (1ct 0st)","0.384"
"316","L Ronchi (ICC/NZ)","2016-2018","8","8","5","2","3","2","0","2 (1ct 1st)","0.625"
"317","Sami Sohail (MWI)","2019-2019","7","7","5","5","0","0","5","2 (2ct 0st)","0.714"
"318","Sandeep Goud (OMAN)","2019-2020","15","15","5","5","0","0","5","2 (2ct 0st)","0.333"
"319","Shafiqullah (AFG)","2016-2019","18","18","5","3","2","1","2","2 (1ct 1st)","0.277"
"320","Shafiq Sharif (MAL)","2019-2019","10","9","5","2","3","2","0","2 (2ct 0st)","0.555"
"321","Shakib Al Hasan (BDESH)","2016-2019","25","25","5","5","0","0","5","2 (2ct 0st)","0.200"
"322","Shiraz Khan (KUW)","2019-2020","11","11","5","5","0","0","5","1 (1ct 0st)","0.454"
"323","TB Sole (SCOT)","2019-2019","9","9","5","5","0","0","5","1 (1ct 0st)","0.555"
"324","LRPL Taylor (NZ)","2016-2020","33","33","5","5","0","0","5","1 (1ct 0st)","0.151"
"325","SR Taylor (USA)","2019-2019","8","8","5","5","0","0","5","2 (2ct 0st)","0.625"
"326","AJ Turner (AUS)","2017-2019","11","11","5","5","0","0","5","1 (1ct 0st)","0.454"
"327","Umar Akmal (PAK)","2016-2019","8","8","5","5","0","0","5","3 (3ct 0st)","0.625"
"328","N Vanua (PNG)","2017-2019","19","19","5","5","0","0","5","2 (2ct 0st)","0.263"
"329","C Viljoen (NAM)","2019-2019","12","12","5","5","0","0","5","1 (1ct 0st)","0.416"
"330","JM Vince (ENG)","2016-2019","9","9","5","5","0","0","5","2 (2ct 0st)","0.555"
"331","B Ward (JER)","2019-2019","13","13","5","5","0","0","5","1 (1ct 0st)","0.384"
"332","MRJ Watt (SCOT)","2017-2019","21","21","5","5","0","0","5","1 (1ct 0st)","0.238"
"333","Sarfraz Butt (Saudi)","2020-2020","3","3","5","1","4","1","0","3 (0ct 3st)","1.666"
"334","Abdul-Shakoor Rahimzei (GER)","2019-2020","9","9","4","4","0","0","4","2 (2ct 0st)","0.444"
"335","CN Ackermann (NL)","2019-2019","11","11","4","4","0","0","4","1 (1ct 0st)","0.363"
"336","Adnan Idrees (KUW)","2019-2019","6","6","4","4","0","0","4","1 (1ct 0st)","0.666"
"337","Ahmed Faiz (MAL)","2019-2020","18","17","4","4","0","0","4","2 (2ct 0st)","0.235"
"338","Aizaz Khan (HKG)","2016-2020","20","20","4","4","0","0","4","1 (1ct 0st)","0.200"
"339","Amjad Mahboob (SGP)","2019-2020","14","14","4","4","0","0","4","1 (1ct 0st)","0.285"
"340","HM Amla (SA/World)","2016-2018","11","11","4","4","0","0","4","1 (1ct 0st)","0.363"
"341","JC Archer (ENG)","2019-2021","11","11","4","4","0","0","4","2 (2ct 0st)","0.363"
"342","Awais Malik (QAT)","2019-2020","18","18","4","4","0","0","4","2 (2ct 0st)","0.222"
"343","MA Baig (MWI)","2019-2019","7","7","4","4","0","0","4","3 (3ct 0st)","0.571"
"344","B Banerjee (Mex)","2019-2019","6","6","4","4","0","3","1","1 (1ct 0st)","0.666"
"345","Basil Hameed (UAE)","2020-2020","4","4","4","4","0","0","4","2 (2ct 0st)","1.000"
"346","JP Behrendorff (AUS)","2017-2019","7","6","4","4","0","0","4","3 (3ct 0st)","0.666"
"347","RD Berrington (SCOT)","2017-2019","25","25","4","4","0","0","4","1 (1ct 0st)","0.160"
"348","TS Bharaj (DEN)","2019-2019","9","7","4","4","0","0","4","3 (3ct 0st)","0.571"
"349","Meet Bhavsar (KUW)","2019-2019","9","9","4","4","0","4","0","3 (3ct 0st)","0.444"
"350","MP Biddappa (PHI)","2019-2019","4","4","4","3","1","3","0","2 (2ct 0st)","1.000"
"351","PRP Boissevain (NL)","2019-2019","4","4","4","4","0","0","4","2 (2ct 0st)","1.000"
"352","DE Budge (SCOT)","2018-2018","6","6","4","4","0","0","4","1 (1ct 0st)","0.666"
"353","RW Chakabva (ZIM)","2019-2019","7","7","4","4","0","0","4","1 (1ct 0st)","0.571"
"354","JW Chilia (VAN)","2019-2019","14","14","4","4","0","0","4","2 (2ct 0st)","0.285"
"355","K Christie (HKG)","2019-2019","11","11","4","4","0","0","4","1 (1ct 0st)","0.363"
"356","DDP D'Silva (UAE)","2019-2019","10","10","4","4","0","0","4","1 (1ct 0st)","0.400"
"357","KC D'Souza (BUL)","2020-2020","7","6","4","4","0","0","4","1 (1ct 0st)","0.666"
"358","DAP Darrell (BMUDA)","2019-2019","11","11","4","4","0","0","4","2 (2ct 0st)","0.363"
"359","JH Davey (SCOT)","2017-2019","10","10","4","4","0","0","4","1 (1ct 0st)","0.400"
"360","DM de Silva (SL)","2016-2020","14","13","4","4","0","0","4","1 (1ct 0st)","0.307"
"361","CR Ervine (ZIM)","2019-2020","9","9","4","4","0","0","4","3 (3ct 0st)","0.444"
"362","LH Ferguson (NZ)","2017-2020","11","11","4","4","0","0","4","2 (2ct 0st)","0.363"
"363","WIA Fernando (SL)","2019-2020","15","14","4","4","0","0","4","2 (2ct 0st)","0.285"
"364","O Fournier (CRC)","2019-2019","2","2","4","4","0","0","4","2 (2ct 0st)","2.000"
"365","PF Gallagher (Fin)","2019-2019","3","3","4","4","0","0","4","2 (2ct 0st)","1.333"
"366","DM Gondaria (KENYA)","2019-2019","9","9","4","4","0","0","4","1 (1ct 0st)","0.444"
"367","K Gupta (Chile)","2019-2019","4","4","4","3","1","3","0","3 (2ct 1st)","1.000"
"368","OD Hald (DEN)","2019-2019","9","7","4","4","0","0","4","2 (2ct 0st)","0.571"
"369","Hamza Tahir (SCOT)","2018-2019","11","11","4","4","0","0","4","1 (1ct 0st)","0.363"
"370","Haris Rauf (PAK)","2020-2021","13","13","4","4","0","0","4","1 (1ct 0st)","0.307"
"371","TM Head (AUS)","2016-2018","14","14","4","4","0","0","4","1 (1ct 0st)","0.285"
"372","R Hekure (PNG)","2019-2019","8","8","4","4","0","0","4","2 (2ct 0st)","0.500"
"373","DR Hooper (GUE)","2019-2019","9","9","4","4","0","0","4","2 (2ct 0st)","0.444"
"374","Ibrahim Rizan (Mald)","2019-2020","8","8","4","4","0","0","4","3 (3ct 0st)","0.500"
"375","Iftikhar Ahmed (PAK)","2019-2021","12","12","4","4","0","0","4","1 (1ct 0st)","0.333"
"376","Imran Tahir (SA/World)","2016-2019","15","15","4","4","0","0","4","2 (2ct 0st)","0.266"
"377","G Kansonkho (MWI)","2019-2019","6","6","4","4","0","0","4","2 (2ct 0st)","0.666"
"378","CK Kapugedera (SL)","2016-2017","10","10","4","4","0","0","4","3 (3ct 0st)","0.400"
"379","Khizar Hayat (MAL)","2020-2020","9","9","4","4","0","0","4","2 (2ct 0st)","0.444"
"380","BA King (WI)","2019-2020","11","10","4","4","0","0","4","1 (1ct 0st)","0.400"
"381","Kuldeep Lal (ESP)","2019-2020","10","10","4","4","0","0","4","2 (2ct 0st)","0.400"
"382","B Kumar (INDIA)","2016-2021","33","32","4","4","0","0","4","1 (1ct 0st)","0.125"
"383","MSS Mandy (Chile)","2019-2019","4","4","4","4","0","0","4","1 (1ct 0st)","1.000"
"384","WP Masakadza (ZIM)","2018-2020","6","6","4","4","0","0","4","2 (2ct 0st)","0.666"
"385","Md Nurul Huda (Fin)","2019-2019","5","5","4","4","0","0","4","2 (2ct 0st)","0.800"
"386","AS Mehmi ()","2019-2019","3","3","4","4","0","0","4","2 (2ct 0st)","1.333"
"387","Mohamed Arief (MAL)","2019-2020","12","12","4","4","0","0","4","2 (2ct 0st)","0.333"
"388","Mohammad Boota (UAE)","2019-2019","16","16","4","3","1","2","1","2 (1ct 1st)","0.250"
"389","Mohammad Naim (BDESH)","2019-2020","6","6","4","4","0","0","4","2 (2ct 0st)","0.666"
"390","PJ Moor (ZIM)","2016-2019","15","15","4","4","0","2","2","1 (1ct 0st)","0.266"
"391","Muhammad Awais ()","2019-2019","3","3","4","3","1","3","0","3 (2ct 1st)","1.333"
"392","Mujeeb Ur Rahman (AFG)","2018-2020","19","19","4","4","0","0","4","1 (1ct 0st)","0.210"
"393","GRD Munasinghe (ITA)","2019-2019","8","7","4","4","0","0","4","1 (1ct 0st)","0.571"
"394","SP Narine (WI)","2016-2019","17","17","4","4","0","0","4","2 (2ct 0st)","0.235"
"395","Nazril Rahman (MAL)","2019-2020","11","11","4","4","0","0","4","2 (2ct 0st)","0.363"
"396","A Neill (SCOT)","2019-2019","5","5","4","4","0","0","4","2 (2ct 0st)","0.800"
"397","SN Netravalkar (USA)","2019-2019","8","8","4","4","0","0","4","1 (1ct 0st)","0.500"
"398","N Nipiko (VAN)","2019-2019","14","14","4","4","0","0","4","1 (1ct 0st)","0.285"
"399","NM Odhiambo (KENYA)","2019-2019","8","8","4","4","0","0","4","2 (2ct 0st)","0.500"
"400","RK Paudel (NEPAL)","2019-2019","11","11","4","4","0","0","4","2 (2ct 0st)","0.363"
"401","N Pokana (PNG)","2019-2019","16","16","4","4","0","0","4","2 (2ct 0st)","0.250"
"402","MJ Richardson (GER)","2019-2020","5","5","4","1","3","1","0","2 (1ct 1st)","0.800"
"403","JJ Roy (ENG)","2016-2021","33","33","4","4","0","0","4","1 (1ct 0st)","0.121"
"404","AD Russell (WI)","2016-2020","13","13","4","4","0","0","4","1 (1ct 0st)","0.307"
"405","MN Samuels (WI)","2016-2018","26","26","4","4","0","0","4","1 (1ct 0st)","0.153"
"406","R Satheesan (ROM)","2019-2020","8","8","4","4","0","0","4","2 (2ct 0st)","0.500"
"407","D Sheeli (KUW)","2019-2020","5","5","4","4","0","0","4","3 (3ct 0st)","0.800"
"408","B Shikongo (NAM)","2019-2019","11","11","4","4","0","0","4","1 (1ct 0st)","0.363"
"409","Simandeep Singh (HKG)","2019-2019","7","7","4","4","0","0","4","2 (2ct 0st)","0.571"
"410","Sultan Ahmed (OMAN)","2017-2017","4","4","4","4","0","4","0","2 (2ct 0st)","1.000"
"411","MJ Swepson (AUS)","2018-2020","4","4","4","4","0","0","4","2 (2ct 0st)","1.000"
"412","SN Thakur (INDIA)","2018-2021","21","19","4","4","0","0","4","1 (1ct 0st)","0.210"
"413","C Tommy (VAN)","2019-2019","12","12","4","4","0","0","4","1 (1ct 0st)","0.333"
"414","HE van der Dussen (SA)","2018-2020","18","18","4","4","0","0","4","2 (2ct 0st)","0.222"
"415","S Vashisht (ROM)","2019-2020","6","6","4","4","0","0","4","1 (1ct 0st)","0.666"
"416","C Waiswa (UGA)","2019-2020","7","7","4","4","0","0","4","1 (1ct 0st)","0.571"
"417","Zahoor Khan (UAE)","2017-2020","22","22","4","4","0","0","4","1 (1ct 0st)","0.181"
"418","Abdul Shakoor (ROM)","2019-2020","4","4","3","1","2","1","0","2 (1ct 1st)","0.750"
"419","Abdul Waheed (Saudi)","2020-2020","3","3","3","3","0","0","3","2 (2ct 0st)","1.000"
"420","Abrar Bilal (Aut)","2019-2019","4","4","3","0","3","0","0","1 (0ct 1st)","0.750"
"421","MR Adair (IRE)","2019-2020","18","18","3","3","0","0","3","1 (1ct 0st)","0.166"
"422","S Adedeji (NGA)","2019-2019","6","6","3","3","0","0","3","1 (1ct 0st)","0.500"
"423","Afif Hossain (BDESH)","2018-2020","12","12","3","3","0","0","3","1 (1ct 0st)","0.250"
"424","Aftab Alam (AFG)","2016-2018","6","6","3","3","0","0","3","2 (2ct 0st)","0.500"
"425","KK Ahmed (INDIA)","2018-2019","14","14","3","3","0","0","3","1 (1ct 0st)","0.214"
"426","Ainool Haqqiem (MAL)","2019-2019","4","4","3","1","2","1","0","2 (0ct 2st)","0.750"
"427","TP Allen (USA)","2019-2019","5","5","3","3","0","0","3","1 (1ct 0st)","0.600"
"428","CJA Amini (PNG)","2019-2019","17","17","3","3","0","0","3","1 (1ct 0st)","0.176"
"429","Amir Mangal (GER)","2019-2020","10","10","3","3","0","0","3","2 (2ct 0st)","0.300"
"430","Anowarul Islam (THAI)","2019-2019","4","4","3","3","0","0","3","2 (2ct 0st)","0.750"
"431","Ansh Tandon (UAE)","2020-2020","1","1","3","3","0","0","3","3 (3ct 0st)","3.000"
"432","V Aravind (UAE)","2020-2020","5","5","3","3","0","3","0","3 (3ct 0st)","0.600"
"433","P Arrighi (Arg)","2019-2019","5","5","3","3","0","0","3","2 (2ct 0st)","0.600"
"434","A Ashokan (CZK-R)","2019-2020","6","6","3","3","0","0","3","1 (1ct 0st)","0.500"
"435","JJ Atkinson (HKG)","2020-2020","4","4","3","3","0","0","3","2 (2ct 0st)","0.750"
"436","AJ Ayannaike (NGA)","2019-2019","3","3","3","2","1","2","0","3 (2ct 1st)","1.000"
"437","F Baaleri (Ghana)","2019-2019","4","4","3","3","0","1","2","2 (2ct 0st)","0.750"
"438","Babar Ali (BHR)","2019-2019","3","3","3","3","0","0","3","1 (1ct 0st)","1.000"
"439","V Balakrishnan (Botsw)","2019-2019","3","3","3","3","0","0","3","3 (3ct 0st)","1.000"
"440","OGL Bascome (BMUDA)","2019-2019","11","11","3","3","0","0","3","1 (1ct 0st)","0.272"
"441","V Baskaran (SGP)","2019-2020","13","13","3","3","0","0","3","1 (1ct 0st)","0.230"
"442","SJ Benn (WI)","2016-2016","5","5","3","3","0","0","3","1 (1ct 0st)","0.600"
"443","Bilal Khan (OMAN)","2017-2020","23","23","3","3","0","0","3","1 (1ct 0st)","0.130"
"444","Bilal Zalmai (Aut)","2019-2019","5","5","3","3","0","0","3","2 (2ct 0st)","0.600"
"445","C Bisson (JER)","2019-2019","14","14","3","3","0","0","3","1 (1ct 0st)","0.214"
"446","J Butler (GUE)","2019-2020","10","10","3","3","0","0","3","1 (1ct 0st)","0.300"
"447","C Chete (MWI)","2019-2019","2","2","3","3","0","3","0","2 (2ct 0st)","1.500"
"448","LA Collado (GIBR)","2019-2019","4","4","3","2","1","2","0","1 (1ct 0st)","0.750"
"449","CJ Dala (SA)","2018-2021","10","10","3","3","0","0","3","1 (1ct 0st)","0.300"
"450","Delawar Khan (DEN)","2019-2019","9","7","3","3","0","0","3","2 (2ct 0st)","0.428"
"451","BFW de Leede (NL)","2018-2019","8","8","3","3","0","0","3","1 (1ct 0st)","0.375"
"452","JL Denly (ENG)","2018-2020","8","8","3","3","0","0","3","1 (1ct 0st)","0.375"
"453","JP Duminy (SA)","2016-2019","13","13","3","3","0","0","3","1 (1ct 0st)","0.230"
"454","N Dutta (CAN)","2019-2019","11","11","3","3","0","0","3","2 (2ct 0st)","0.272"
"455","AC Evans (SCOT)","2018-2019","16","16","3","3","0","0","3","1 (1ct 0st)","0.187"
"456","CH Gayle (WI)","2016-2021","15","15","3","3","0","0","3","1 (1ct 0st)","0.200"
"457","SC Getkate (IRE)","2019-2020","15","15","3","3","0","0","3","2 (2ct 0st)","0.200"
"458","D Gim (NGA)","2019-2019","6","6","3","3","0","0","3","2 (2ct 0st)","0.500"
"459","BD Glover (NL)","2019-2019","19","19","3","3","0","0","3","1 (1ct 0st)","0.157"
"460","LF Goncalves ()","2019-2019","3","3","3","1","2","1","0","2 (1ct 1st)","1.000"
"461","H Gori (CZK-R)","2019-2020","11","11","3","3","0","0","3","1 (1ct 0st)","0.272"
"462","Z Groenewald (NAM)","2019-2019","10","10","3","3","0","0","3","1 (1ct 0st)","0.300"
"463","Haider Ali (PAK)","2020-2021","10","10","3","3","0","0","3","1 (1ct 0st)","0.300"
"464","BE Hendricks (SA)","2017-2020","9","9","3","3","0","0","3","2 (2ct 0st)","0.333"
"465","Ibrarul Haq (Saudi)","2019-2019","5","5","3","3","0","0","3","3 (3ct 0st)","0.600"
"466","Imrul Kayes (BDESH)","2017-2017","6","6","3","3","0","0","3","1 (1ct 0st)","0.500"
"467","Inam-ul-Haq (QAT)","2019-2019","11","11","3","3","0","0","3","1 (1ct 0st)","0.272"
"468","H Ivanov (BUL)","2019-2020","8","7","3","3","0","2","1","1 (1ct 0st)","0.428"
"469","KA Jamieson (NZ)","2020-2021","8","8","3","3","0","0","3","2 (2ct 0st)","0.375"
"470","S Jora (NEPAL)","2019-2019","6","6","3","3","0","0","3","1 (1ct 0st)","0.500"
"471","Junaid Siddique (UAE)","2019-2020","13","13","3","3","0","0","3","1 (1ct 0st)","0.230"
"472","I Katzarski (BUL)","2019-2019","3","3","3","3","0","0","3","2 (2ct 0st)","1.000"
"473","S Kaveri (Mex)","2019-2019","7","7","3","3","0","0","3","2 (2ct 0st)","0.428"
"474","Khalid Latif (PAK)","2016-2016","6","6","3","3","0","0","3","1 (1ct 0st)","0.500"
"475","UT Khawaja (AUS)","2016-2016","6","6","3","3","0","0","3","1 (1ct 0st)","0.500"
"476","Khurram Nawaz (OMAN)","2017-2020","19","19","3","3","0","0","3","1 (1ct 0st)","0.157"
"477","J Kila (PNG)","2019-2019","12","12","3","3","0","0","3","2 (2ct 0st)","0.250"
"478","AK Kitchen (NZ)","2017-2018","5","4","3","3","0","0","3","2 (2ct 0st)","0.750"
"479","IGTR Kumara (Mald)","2020-2020","3","3","3","3","0","0","3","3 (3ct 0st)","1.000"
"480","UKPW Kumaranayaka (KUW)","2019-2020","7","7","3","3","0","0","3","1 (1ct 0st)","0.428"
"481","S Lamichhane (ICC/NEPAL)","2018-2020","21","21","3","3","0","0","3","1 (1ct 0st)","0.142"
"482","A Lark (Aut)","2019-2019","5","5","3","3","0","0","3","1 (1ct 0st)","0.600"
"483","TWM Latham (NZ)","2017-2017","1","1","3","3","0","3","0","3 (3ct 0st)","3.000"
"484","KS Leverock (BMUDA)","2019-2019","12","12","3","3","0","0","3","1 (1ct 0st)","0.250"
"485","N Madziva (ZIM)","2016-2019","9","9","3","3","0","0","3","1 (1ct 0st)","0.333"
"486","WJ Malinda (Mald)","2019-2019","3","3","3","3","0","0","3","2 (2ct 0st)","1.000"
"487","Mamoon Latif (Belg)","2019-2020","7","7","3","3","0","0","3","2 (2ct 0st)","0.428"
"488","A Manepalli (LUX)","2020-2020","2","2","3","3","0","3","0","3 (3ct 0st)","1.500"
"489","AD Mathews (SL)","2016-2021","15","15","3","3","0","0","3","2 (2ct 0st)","0.200"
"490","Md Shafiqul Haque (THAI)","2019-2019","4","4","3","1","2","1","0","1 (1ct 0st)","0.750"
"491","GP Meade (ITA)","2019-2019","8","7","3","3","0","0","3","1 (1ct 0st)","0.428"
"492","BMAJ Mendis (SL)","2018-2018","6","6","3","3","0","0","3","2 (2ct 0st)","0.500"
"493","P Mishra (BUL)","2019-2020","10","9","3","3","0","0","3","2 (2ct 0st)","0.333"
"494","Mohammad Amin (KUW)","2019-2020","9","9","3","3","0","0","3","1 (1ct 0st)","0.333"
"495","Mohammad Naveed (UAE)","2016-2019","17","17","3","3","0","0","3","1 (1ct 0st)","0.176"
"496","Mohammad Saifuddin (BDESH)","2017-2020","15","15","3","3","0","0","3","1 (1ct 0st)","0.200"
"497","Muhammad Kashif (KUW)","2019-2020","15","15","3","3","0","0","3","1 (1ct 0st)","0.200"
"498","T Munyonga (ZIM)","2019-2019","5","5","3","3","0","0","3","2 (2ct 0st)","0.600"
"499","Najeeb Tarakai (AFG)","2016-2019","10","10","3","3","0","0","3","2 (2ct 0st)","0.300"
"500","Naveed Ahmed (CZK-R)","2019-2020","10","10","3","3","0","0","3","2 (2ct 0st)","0.300"
"501","A Ndlovu (ZIM)","2019-2019","3","3","3","3","0","0","3","2 (2ct 0st)","1.000"
"502","SO Ngoche (KENYA)","2019-2019","9","9","3","3","0","0","3","1 (1ct 0st)","0.333"
"503","F Nsubuga (UGA)","2019-2020","6","6","3","3","0","0","3","1 (1ct 0st)","0.500"
"504","AR Patel (INDIA)","2016-2021","8","8","3","3","0","0","3","2 (2ct 0st)","0.375"
"505","RB Patel (BUL)","2020-2020","7","6","3","3","0","0","3","1 (1ct 0st)","0.500"
"506","WTS Porterfield (IRE)","2016-2018","13","13","3","3","0","0","3","1 (1ct 0st)","0.230"
"507","S Prasanna (SL)","2016-2017","14","14","3","3","0","0","3","2 (2ct 0st)","0.214"
"508","S Qeshile (SA)","2019-2019","2","2","3","3","0","3","0","2 (2ct 0st)","1.500"
"509","K Rabada (SA)","2016-2020","13","13","3","3","0","0","3","1 (1ct 0st)","0.230"
"510","LN Rajbanshi (NEPAL)","2018-2019","12","12","3","3","0","0","3","1 (1ct 0st)","0.250"
"511","S Ravikumar (CRC)","2019-2019","3","3","3","3","0","0","3","2 (2ct 0st)","1.000"
"512","B Regmi (NEPAL)","2018-2019","7","7","3","3","0","0","3","1 (1ct 0st)","0.428"
"513","KA Reynolds (Blz)","2019-2019","3","3","3","3","0","0","3","2 (2ct 0st)","1.000"
"514","Rizwan Cheema (CAN)","2019-2019","8","8","3","3","0","0","3","1 (1ct 0st)","0.375"
"515","MJ Ross (ITA)","2019-2019","8","7","3","3","0","0","3","2 (2ct 0st)","0.428"
"516","Saad Bin Zafar (CAN)","2019-2019","11","11","3","3","0","0","3","1 (1ct 0st)","0.272"
"517","NA Saini (INDIA)","2019-2020","10","9","3","3","0","0","3","2 (2ct 0st)","0.333"
"518","V Saini (ROM)","2020-2020","4","4","3","3","0","0","3","2 (2ct 0st)","0.750"
"519","Sajid Cheema (Saudi)","2019-2020","7","7","3","3","0","0","3","1 (1ct 0st)","0.428"
"520","DJG Sammy (WI/World)","2016-2017","7","7","3","3","0","0","3","1 (1ct 0st)","0.428"
"521","SV Samson (INDIA)","2020-2020","6","6","3","2","1","0","2","1 (1ct 0st)","0.500"
"522","BM Scholtz (NAM)","2019-2019","14","14","3","3","0","0","3","1 (1ct 0st)","0.214"
"523","NK Shetty (Mex)","2019-2019","2","2","3","3","0","0","3","2 (2ct 0st)","1.500"
"524","Sidhant Singh (SGP)","2019-2020","11","11","3","3","0","0","3","1 (1ct 0st)","0.272"
"525","P Silas (Botsw)","2019-2019","4","4","3","3","0","0","3","1 (1ct 0st)","0.750"
"526","L Sipamla (SA)","2019-2021","9","9","3","3","0","0","3","1 (1ct 0st)","0.333"
"527","MWR Stokes (GUE)","2019-2019","9","9","3","3","0","0","3","1 (1ct 0st)","0.333"
"528","CR Suryawanshi (SGP)","2019-2019","3","3","3","3","0","0","3","1 (1ct 0st)","1.000"
"529","Tauqeer Hussain (ESP)","2019-2020","6","6","3","3","0","0","3","1 (1ct 0st)","0.500"
"530","JE Taylor (WI)","2016-2018","10","10","3","3","0","0","3","1 (1ct 0st)","0.300"
"531","OFJ Tonuu (Samoa)","2019-2019","4","4","3","3","0","3","0","1 (1ct 0st)","0.750"
"532","I Udana (SL)","2017-2020","23","22","3","3","0","0","3","2 (2ct 0st)","0.136"
"533","JD Unadkat (INDIA)","2016-2018","10","10","3","3","0","0","3","1 (1ct 0st)","0.300"
"534","JNT Vare (PNG)","2017-2017","3","3","3","3","0","3","0","3 (3ct 0st)","1.000"
"535","S Vesawkar (NEPAL)","2018-2019","7","7","3","3","0","0","3","1 (1ct 0st)","0.428"
"536","TP Visee (NL)","2017-2019","25","24","3","3","0","0","3","1 (1ct 0st)","0.125"
"537","HR Walsh (USA/WI)","2019-2020","17","16","3","3","0","0","3","1 (1ct 0st)","0.187"
"538","Waqas Barkat (HKG)","2017-2020","20","20","3","3","0","0","3","1 (1ct 0st)","0.150"
"539","UT Yadav (INDIA)","2018-2019","6","6","3","3","0","0","3","1 (1ct 0st)","0.500"
"540","KJ Young (Blz)","2019-2019","3","3","3","3","0","3","0","1 (1ct 0st)","1.000"
"541","SA Abbott (AUS)","2019-2020","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"542","Abdullah Akbarjan (Aut)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"543","Abdul Wahid (Saudi)","2019-2020","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"544","AS Abioye (NGA)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"545","IKO Aboagye (Ghana)","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"546","Abu Hider (BDESH)","2018-2018","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"547","Abdul Hashmi (DEN)","2019-2019","8","6","2","1","1","1","0","1 (1ct 0st)","0.333"
"548","Adil Butt (Saudi)","2020-2020","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"549","Ahmed Shehzad (PAK)","2016-2019","18","18","2","2","0","0","2","1 (1ct 0st)","0.111"
"550","CM Akachukwu (NGA)","2019-2019","8","8","2","2","0","0","2","2 (2ct 0st)","0.250"
"551","AD Algar (ESP)","2020-2020","1","1","2","2","0","2","0","2 (2ct 0st)","2.000"
"552","Al-Amin Hossain (BDESH)","2016-2020","9","9","2","2","0","0","2","1 (1ct 0st)","0.222"
"553","Amjad Javed (UAE)","2016-2017","7","7","2","2","0","0","2","1 (1ct 0st)","0.285"
"554","Amjad Khan (UAE)","2016-2016","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"555","Amjad Sher (Fin)","2019-2019","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"556","Anique Uddin (DEN)","2019-2019","6","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"557","R Ankad (Mex)","2019-2019","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"558","Anshuman Rath (HKG)","2016-2017","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"559","Anwar Arudin (MAL)","2019-2020","17","16","2","2","0","0","2","1 (1ct 0st)","0.125"
"560","Anwar Rahman (MAL)","2019-2020","11","10","2","2","0","0","2","1 (1ct 0st)","0.200"
"561","Aphsal Ashraf (KUW)","2020-2020","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"562","Areeb Quadir (Fin)","2019-2019","2","2","2","2","0","0","2","2 (2ct 0st)","1.000"
"563","Ashfaq Ahmed (UAE)","2018-2019","12","12","2","2","0","0","2","1 (1ct 0st)","0.166"
"564","R Ashwin (INDIA)","2016-2017","7","7","2","2","0","0","2","1 (1ct 0st)","0.285"
"565","Asrar Ahmed ()","2019-2019","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"566","S Badree (WI/World)","2016-2018","29","29","2","2","0","0","2","2 (2ct 0st)","0.068"
"567","AA Banner (Blz)","2019-2019","3","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"568","GG Banner (Blz)","2019-2019","3","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"569","LJ Barker (GUE)","2019-2020","10","10","2","2","0","0","2","1 (1ct 0st)","0.200"
"570","W Barresi (NL)","2017-2019","10","9","2","1","1","1","0","1 (1ct 0st)","0.222"
"571","A Bhagwat (HKG)","2019-2019","4","4","2","2","0","2","0","2 (2ct 0st)","0.500"
"572","M Bhanuka (SL)","2019-2019","2","2","2","2","0","2","0","1 (1ct 0st)","1.000"
"573","DAJ Bracewell (NZ)","2017-2019","4","3","2","2","0","0","2","2 (2ct 0st)","0.666"
"574","DM Bravo (WI)","2018-2019","8","8","2","2","0","0","2","2 (2ct 0st)","0.250"
"575","PR Brown (ENG)","2019-2019","4","4","2","2","0","0","2","1 (1ct 0st)","0.500"
"576","C Carter (HKG)","2016-2017","3","3","2","1","1","1","0","1 (1ct 0st)","0.666"
"577","VD Chandra (PNM)","2019-2019","3","3","2","2","0","2","0","1 (1ct 0st)","0.666"
"578","BB Chari (ZIM)","2019-2019","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"579","J Charles (WI)","2016-2016","10","10","2","2","0","0","2","1 (1ct 0st)","0.200"
