team_name,Player_name,NATIONALITY,Mat,Inns,Runs,Overs,SR,St,Wkts,4,5,Season,Mdns,Econ,Ave,dream_11_points,consistency
SRH,SandeepSharma,IND,36.0,36.0,,138.4,,0.0,38.0,0.0,0.0,New_season,0.0,23.0,,974.0,27.055555555555557
MI,RGSharma,IND,159.0,30.0,440.0,55.2,111.5,0.0,15.0,1.0,0.0,older_season,0.0,63.709999999999994,142.13,965.0,32.166666666666664
CSK,SNThakur,IND,32.0,31.0,,108.60000000000001,,0.0,34.0,0.0,0.0,New_season,1.0,27.09,,950.0,30.64516129032258
RCB,HVPatel,IND,36.0,34.0,971.0,113.5,151.2,0.0,34.0,0.0,0.0,older_season,0.0,47.29,246.64,932.0,27.41176470588235
CSK,ImranTahir,INT,26.0,26.0,,95.6,,0.0,33.0,2.0,0.0,New_season,1.0,22.68,,921.0,35.42307692307692
CSK,DJBravo,INT,34.0,34.0,,115.4,,0.0,31.0,0.0,0.0,New_season,1.0,26.54,,907.0,26.676470588235293
RCB,DTChristian,INT,36.0,36.0,936.0,118.4,66.9,0.0,30.0,0.0,0.0,older_season,0.0,32.89,88.02,902.0,25.055555555555557
MI,KHPandya,IND,46.0,45.0,,136.2,,0.0,30.0,0.0,0.0,New_season,0.0,21.92,,894.0,19.866666666666667
KKR,ADRussell,INT,40.0,34.0,,85.6,,0.0,30.0,0.0,0.0,New_season,0.0,28.61,,862.0,25.352941176470587
KKR,ADRussell,INT,34.0,34.0,896.0,104.69999999999999,0.0,0.0,31.0,1.0,0.0,older_season,0.0,46.1,255.54,851.0,25.029411764705884
RCB,MohammedSiraj,IND,29.0,29.0,,96.19999999999999,,0.0,29.0,0.0,0.0,New_season,3.0,27.18,,849.0,29.275862068965516
KKR,SPNarine,INT,38.0,38.0,,143.2,,0.0,32.0,0.0,0.0,New_season,1.0,23.41,,836.0,22.0
MI,PPChawla,IND,35.0,35.0,,114.3,,0.0,30.0,0.0,0.0,New_season,0.0,26.45,,822.0,23.485714285714284
RR,CHMorris,INT,22.0,22.0,,78.4,,0.0,27.0,1.0,0.0,New_season,1.0,26.11,,799.0,36.31818181818182
RCB,ABdeVilliers,INT,129.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,792.0,inf
RR,AJTye,INT,21.0,21.0,,82.0,,0.0,28.0,3.0,0.0,New_season,0.0,31.09,,772.0,36.76190476190476
MI,RDChahar,IND,28.0,28.0,,100.0,,0.0,28.0,0.0,0.0,New_season,0.0,14.71,,758.0,27.071428571428573
DC,UTYadav,IND,27.0,27.0,,97.6,,0.0,28.0,0.0,0.0,New_season,1.0,29.509999999999998,,756.0,28.0
SRH,SKaul,IND,25.0,25.0,,97.0,,0.0,29.0,0.0,0.0,New_season,0.0,33.24,,743.0,29.72
RR,ASingh,IND,23.0,23.0,620.0,78.1,0.0,0.0,28.0,1.0,0.0,older_season,1.0,22.4,65.42999999999999,732.0,31.82608695652174
RR,JDUnadkat,IND,33.0,33.0,,110.4,,0.0,25.0,0.0,0.0,New_season,0.0,30.220000000000002,,703.0,21.303030303030305
SRH,BKumar,IND,31.0,31.0,,119.19999999999999,,0.0,25.0,0.0,0.0,New_season,2.0,22.45,,699.0,22.548387096774192
DC,ARPatel,IND,38.0,37.0,,128.0,,0.0,22.0,0.0,0.0,New_season,0.0,21.92,,688.0,18.594594594594593
DC,AMishra,IND,24.0,24.0,,87.0,,0.0,26.0,0.0,0.0,New_season,1.0,21.08,,680.0,28.333333333333332
SRH,WPSaha,IND,104.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,672.0,inf
KKR,HarbhajanSingh,IND,24.0,23.0,,75.5,,0.0,23.0,0.0,0.0,New_season,1.0,15.57,,657.0,28.565217391304348
CSK,SMCurran,INT,23.0,22.0,,75.0,,0.0,23.0,1.0,0.0,New_season,0.0,17.97,,655.0,29.772727272727273
