No.,Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ball_Ave,Econ,SR,four_wkt,five_wkt,Ct,St
140,JD Unadkat,(Rajasthan Royals),7,7,23,0,228,4,Feb-32,57,9.91,34.5,0,0,1,0
28,TK Curran,(Rajasthan Royals),5,5,18.1,0,208,3,Jan-37,69.33,11.44,36.3,0,0,1,0
30,TU Deshpande,(Delhi Capitals),5,5,17,0,192,3,Feb-37,64,11.29,34,0,0,1,0
67,B Kumar,(Sunrisers Hyderabad),4,4,14.1,0,99,3,25-Feb,33,6.98,28.3,0,0,0,0
71,GJ Maxwell,(Kings XI Punjab),13,7,21,0,169,3,10-Jan,56.33,8.04,42,0,0,4,0
73,A Mishra,(Delhi Capitals),3,3,10,0,72,3,Feb-35,24,7.2,20,0,0,1,0
97,HV Patel,(Delhi Capitals),5,5,15,0,134,3,Feb-34,44.66,8.93,30,0,0,1,0
3,Abhishek Sharma,(Sunrisers Hyderabad),8,6,10,0,91,2,15-Jan,45.5,9.1,30,0,0,1,0
62,S Kaul,(Sunrisers Hyderabad),1,1,4,0,64,2,Feb-64,32,16,12,0,0,0,0
87,JDS Neesham,(Kings XI Punjab),5,5,15,0,148,2,17-Jan,74,9.86,45,0,0,1,0
107,AS Rajpoot,(Rajasthan Royals),6,6,17,0,199,2,Jan-39,99.5,11.7,51,0,0,0,0
114,Shahbaz Ahmed,(Royal Challengers Bangalore),2,2,6,0,44,2,26-Feb,22,7.33,18,0,0,1,0
120,MJ Santner,(Chennai Super Kings),2,2,7,0,53,2,23-Jan,26.5,7.57,21,0,0,1,0
133,BA Stokes,(Rajasthan Royals),8,6,15,0,154,2,Feb-32,77,10.26,45,0,0,6,0
151,A Zampa,(Royal Challengers Bangalore),3,3,11,0,92,2,12-Jan,46,8.36,33,0,0,1,0
2,Abdul Samad,(Sunrisers Hyderabad),12,3,7,0,96,1,Jan-41,96,13.71,42,0,0,5,0
6,MM Ali,(Royal Challengers Bangalore),3,3,5,0,42,1,21-Jan,42,8.4,30,0,0,1,0
14,Basil Thampi,(Sunrisers Hyderabad),1,1,4,0,46,1,Jan-46,46,11.5,24,0,0,0,0
44,K Gowtham,(Kings XI Punjab),2,2,8,0,84,1,Jan-45,84,10.5,48,0,0,0,0
48,JR Hazlewood,(Chennai Super Kings),3,3,10,0,64,1,19-Jan,64,6.4,60,0,0,0,0
52,Imran Tahir,(Chennai Super Kings),3,3,11,0,76,1,24-Jan,76,6.9,66,0,0,0,0
65,Kuldeep Yadav,(Kolkata Knight Riders),5,4,12,0,92,1,20-Jan,92,7.66,72,0,0,0,0
124,MM Sharma,(Delhi Capitals),1,1,4,0,45,1,Jan-45,45,11.25,24,0,0,0,0
