Player_name,NATIONALITY,team_name,international_matches,ipl_matches_older,ipl_matches_New,international_Inns,ipl_Inns_older,ipl_Inns_New,international_Overs,ipl_Overs_older,ipl_Overs_New,international_Mdns,ipl_Mdns_older,ipl_Mdns_New,international_Runs,ipl_Runs_older,ipl_Runs_New,international_Wkts,ipl_Wkts_older,ipl_Wkts_New,international_Ave,ipl_Ave_older,ipl_Ave_New,international_Econ,ipl_Econ_older,ipl_Econ_New,international_SR,ipl_SR_older,ipl_SR_New,international_four,ipl_four_older,ipl_four_New,international_five,ipl_five_older,ipl_five_New,international_dream_11_points,ipl_dream_11_points_older,ipl_dream_11_points_New,international_consistency,ipl_consistency_older,ipl_consistency_New,dream_11_points_final_points
SNThakur,IND,CSK,21,13,32,19,13,31,67.5,41.1,108.6,0,0,1,604,353,0,25,12,34,24.16,66.63,0,8.9,20.91,27.09,16.2,38.8,0,1,0,0,0,0,0,633,326,950,33.32,25.08,30.65,723.86
ARPatel,IND,DC,8,59,38,8,59,37,27,207.9,128,0,2,0,187,1547,0,4,58,22,46.75,107.94,0,6.92,30.18,21.92,40.5,0,0,0,1,0,0,0,0,102,1668,688,12.75,28.27,18.59,718
KuldeepYadav,IND,KKR,21,15,30,20,14,29,75.3,53,96.2,1,0,0,537,440,0,39,18,22,13.76,44.99,0,7.11,16.62,24.46,11.6,32.5,0,1,0,1,1,0,0,1011,466,630,50.55,33.29,21.72,709.86
ADRussell,INT,KKR,13,34,40,13,34,34,47,104.7,85.6,0,0,0,400,896,0,13,31,30,30.76,255.54,0,8.51,46.1,28.61,21.6,0,0,0,1,0,0,0,0,325,851,862,25,25.03,25.35,698.59
MohammedShami,IND,KXIP,8,31,32,8,31,32,29.4,104.1,120.9,0,0,0,303,934,0,7,18,42,43.28,228.11,0,10.21,36.07,27.65,25.4,153.1,0,0,0,0,0,0,0,173,458,1120,21.62,14.77,35,696.88
ShakibAlHasan,INT,KKR,25,43,20,25,42,20,94,153.3,67.5,1,1,0,655,1101,0,31,43,16,21.12,141.86,0,6.96,46.98,16.76,18.1,114.3,0,0,0,0,1,0,0,805,1155,430,32.2,27.5,21.5,694.75
KAPollard,INT,MI,34,123,41,19,81,11,42.2,198.7,21,0,0,0,381,1770,0,15,56,4,25.4,276.43,0,9,83.09,9.04,16.9,175.6,0,1,1,0,0,0,0,383,1954,272,20.16,24.12,24.73,658.52
CJJordan,INT,KXIP,47,10,10,46,10,10,162.5,29,35.3,1,0,0,1430,267,0,58,12,9,24.65,32.45,0,8.78,18.21,17.4,16.8,21.2,0,2,1,0,0,0,0,1478,340,265,32.13,34,26.5,644.65
KHPandya,IND,MI,18,25,46,18,24,45,66.2,71.1,136.2,1,0,0,538,509,0,14,16,30,38.42,66.63,0,8.11,14.39,21.92,28.4,55.1,0,1,0,0,0,0,0,370,434,894,20.56,18.08,19.87,640.2
DSKulkarni,IND,MI,2,72,19,2,72,19,8,235.2,57.5,0,7,1,55,1881,0,3,76,10,18.33,297.99,0,6.87,82.14,26.37,16,214.2,0,0,1,0,0,0,0,77,2118,310,38.5,29.42,16.32,619.78
KVSharma,IND,CSK,0,56,12,0,55,11,0,171,30.8,0,1,0,0,1323,0,0,49,10,0,95.62,0,0,39.78,29.68,0,77.2,0,0,2,0,0,0,0,0,1349,270,0,24.53,24.55,593.7
LNgidi,INT,CSK,16,0,11,16,0,11,53.2,0,42,0,0,2,477,0,0,28,0,20,17.03,0,0,8.94,0,16.43,11.4,0,0,1,0,1,0,0,0,708,0,540,44.25,0,49.09,590.4
MustafizurRahman,INT,RR,31,17,7,31,17,7,110.5,63.4,27.3,3,1,0,970,455,0,45,17,7,21.55,24.76,0,8.75,19.65,8.36,14.7,21.5,0,1,0,0,1,0,0,1185,449,197,38.23,26.41,28.14,546.32
SMCurran,INT,CSK,12,0,23,11,0,22,35,0,75,1,0,0,291,0,0,10,0,23,29.1,0,0,8.31,0,17.97,21,0,0,0,0,1,0,0,0,262,0,655,23.82,0,29.77,537.1
