"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","four","five"
"48","Zahoor Khan (UAE)","2017-2020","22","22","73.3","1","503","27","3/17","18.62","6.84","16.3","0","0"
"49","TK Curran (ENG)","2017-2021","28","27","90.0","1","838","26","4/36","32.23","9.31","20.7","1","0"
"50","Imran Tahir (SA/World)","2016-2019","15","15","54.5","0","370","26","5/23","14.23","6.74","12.6","0","2"
"51","Karim Janat (AFG)","2016-2021","25","25","86.0","0","705","26","5/11","27.11","8.19","19.8","0","1"
"52","Mohammad Amir (PAK)","2016-2020","24","24","83.5","1","598","26","4/13","23.00","7.13","19.3","1","0"
"53","S Badree (WI/World)","2016-2018","29","29","101.0","2","682","25","3/12","27.28","6.75","24.2","0","0"
"54","Mujeeb Ur Rahman (AFG)","2018-2020","19","19","72.0","0","443","25","4/15","17.72","6.15","17.2","1","0"
"55","Pavandeep Singh (MAL)","2019-2020","19","19","68.1","1","455","25","3/12","18.20","6.67","16.3","0","0"
"56","SN Thakur (INDIA)","2018-2021","21","19","67.5","0","604","25","4/27","24.16","8.90","16.2","1","0"
"57","Washington Sundar (INDIA)","2017-2021","30","28","98.3","1","685","25","3/22","27.40","6.95","23.6","0","0"
"58","DJ Willey (ENG)","2016-2019","22","22","73.3","0","578","25","4/7","23.12","7.86","17.6","1","0"
"59","DG Blampied (JER)","2019-2019","17","17","61.4","1","395","24","4/20","16.45","6.40","15.4","1","0"
"60","PWH de Silva (SL)","2019-2021","16","14","49.4","0","336","24","3/12","14.00","6.76","12.4","0","0"
"61","N Nipiko (VAN)","2019-2019","14","13","39.2","0","311","24","5/19","12.95","7.90","9.8","2","1"
"62","KMA Paul (WI)","2018-2020","20","20","72.0","0","643","24","5/15","26.79","8.93","18.0","0","1"
"63","D Ravu (PNG)","2019-2019","17","16","42.1","0","221","24","5/15","9.20","5.24","10.5","1","1"
"64","Shaheen Shah Afridi (PAK)","2018-2021","21","21","78.1","1","606","24","3/20","25.25","7.75","19.5","0","0"
"65","Aizaz Khan (HKG)","2016-2020","20","20","68.2","0","473","23","3/10","20.56","6.92","17.8","0","0"
"66","Mohammad Nadeem (OMAN)","2017-2020","23","23","70.0","0","467","23","4/23","20.30","6.67","18.2","1","0"
"67","Mohammed Nadeem (QAT)","2019-2020","22","22","78.0","0","547","23","3/23","23.78","7.01","20.3","0","0"
"68","CH Morris (SA)","2016-2019","15","15","54.0","3","442","23","4/27","19.21","8.18","14.0","1","0"
"69","PADLR Sandakan (SL)","2017-2021","19","19","72.4","1","529","23","4/23","23.00","7.27","18.9","1","0"
"70","Ahmed Raza (UAE)","2016-2020","28","28","98.4","2","609","22","2/8","27.68","6.17","26.9","0","0"
"71","Amjad Mahboob (SGP)","2019-2020","14","14","45.4","1","363","22","3/20","16.50","7.94","12.4","0","0"
"72","Awais Malik (QAT)","2019-2020","18","18","57.0","1","446","22","3/19","20.27","7.82","15.5","0","0"
"73","AC Evans (SCOT)","2018-2019","16","16","58.0","2","464","22","3/23","21.09","8.00","15.8","0","0"
"74","BM Scholtz (NAM)","2019-2019","14","14","53.0","0","285","22","4/12","12.95","5.37","14.4","1","0"
"75","Ehsan Khan (HKG)","2016-2020","23","23","81.4","1","500","21","3/32","23.80","6.12","23.3","0","0"
"76","LH Ferguson (NZ)","2017-2020","11","11","40.0","0","278","21","5/21","13.23","6.95","11.4","0","1"
"77","Fitri Sham (MAL)","2019-2020","22","21","68.2","0","495","21","3/22","23.57","7.24","19.5","0","0"
"78","JN Frylinck (NAM)","2019-2019","14","13","42.1","0","240","21","4/21","11.42","5.69","12.0","1","0"
"79","Rubel Hossain (BDESH)","2017-2018","16","16","61.1","0","566","21","3/31","26.95","9.25","17.4","0","0"
"80","Simi Singh (IRE)","2018-2020","24","24","60.2","0","496","21","3/15","23.61","8.22","17.2","0","0"
"81","MA Starc (AUS)","2016-2020","15","15","55.3","0","403","21","3/23","19.19","7.26","15.8","0","0"
"82","Sultan Ahmed (UAE)","2017-2020","22","22","72.0","5","426","21","4/9","20.28","5.91","20.5","1","0"
"83","Aamir Kaleem (OMAN)","2019-2020","17","16","47.0","0","305","20","5/15","15.25","6.48","14.1","1","1"
"84","A Bohara (NEPAL)","2019-2020","20","19","66.0","0","436","20","4/35","21.80","6.60","19.8","1","0"
"85","DJ Bravo (WI)","2016-2021","18","17","64.1","0","483","20","3/19","24.15","7.52","19.2","0","0"
"86","Fareed Ahmad (AFG)","2016-2021","15","15","51.5","0","436","20","3/35","21.80","8.41","15.5","0","0"
"87","FJ Klaassen (NL)","2018-2019","21","20","69.1","0","581","20","3/31","29.05","8.40","20.7","0","0"
"88","CW Perchard (JER)","2019-2019","15","13","46.5","0","275","20","5/17","13.75","5.87","14.0","1","1"
"89","C Viljoen (NAM)","2019-2019","12","12","37.1","0","236","20","5/9","11.80","6.34","11.1","1","1"
"90","CA Young (IRE)","2016-2020","22","21","65.0","0","566","20","4/13","28.30","8.70","19.5","1","0"
"91","A Dananjaya (SL)","2017-2021","20","20","77.4","1","653","19","3/36","34.36","8.40","24.5","0","0"
"92","GJ Delany (IRE)","2019-2020","23","20","63.0","1","467","19","2/21","24.57","7.41","19.8","0","0"
"93","D Heyliger (CAN)","2019-2019","11","11","42.0","0","306","19","4/16","16.10","7.28","13.2","2","0"
"94","S Muniandy (MAL)","2019-2020","24","21","59.5","0","528","19","4/13","27.78","8.82","18.8","1","0"
"95","I Udana (SL)","2017-2020","23","20","63.1","0","550","19","3/11","28.94","8.70","19.9","0","0"
"96","MA Wood (ENG)","2017-2021","13","13","46.3","1","391","19","3/9","20.57","8.40","14.6","0","0"
"97","DL Chahar (INDIA)","2018-2020","13","13","47.5","1","362","18","6/7","20.11","7.56","15.9","0","1"
"98","Hamza Tahir (SCOT)","2018-2019","11","11","43.0","1","352","18","4/30","19.55","8.18","14.3","1","0"
"99","Haris Rauf (PAK)","2020-2021","13","13","49.0","0","442","18","3/29","24.55","9.02","16.3","0","0"
"100","KM Jarvis (ZIM)","2018-2019","13","13","42.3","0","395","18","3/32","21.94","9.29","14.1","0","0"
"101","Mohammad Naveed (UAE)","2016-2019","17","17","62.0","2","425","18","3/18","23.61","6.85","20.6","0","0"
"102","Nouman Sarwar (QAT)","2019-2019","14","13","34.5","1","267","18","4/14","14.83","7.66","11.6","1","0"
"103","LE Plunkett (ENG)","2016-2019","19","19","67.2","1","536","18","3/27","29.77","7.96","22.4","0","0"
"104","Tamoor Sajjad (QAT)","2019-2020","16","16","58.1","1","398","18","3/11","22.11","6.84","19.3","0","0"
"105","O Thomas (WI)","2018-2020","15","14","51.0","1","445","18","5/28","24.72","8.72","17.0","0","1"
"106","JH Davey (SCOT)","2017-2019","10","10","37.0","0","317","17","4/34","18.64","8.56","13.0","1","0"
"107","JP Faulkner (AUS)","2016-2017","9","9","32.1","0","242","17","5/27","14.23","7.52","11.3","0","1"
"108","Janak Prakash (SGP)","2019-2020","15","15","49.4","1","362","17","3/15","21.29","7.28","17.5","0","0"
"109","EJB Miles (JER)","2019-2019","14","14","40.0","0","266","17","3/10","15.64","6.65","14.1","0","0"
"110","CB Mpofu (ZIM)","2018-2020","12","12","44.4","0","419","17","4/30","24.64","9.38","15.7","1","0"
"111","NLTC Perera (ICC/SL/World)","2016-2021","35","29","81.4","0","844","17","3/24","49.64","10.33","28.8","0","0"
"112","N Pokana (PNG)","2019-2019","16","15","51.5","2","298","17","3/21","17.52","5.74","18.2","0","0"
"113","Saad Bin Zafar (CAN)","2019-2019","11","11","43.0","2","285","17","3/8","16.76","6.62","15.1","0","0"
"114","Syazrul Idrus (MAL)","2019-2020","10","10","35.0","0","258","17","3/17","15.17","7.37","12.3","0","0"
"115","T van der Gugten (NL)","2017-2019","17","17","53.0","0","401","17","3/9","23.58","7.56","18.7","0","0"
"116","Wahab Riaz (PAK)","2016-2020","18","17","59.5","1","487","17","3/18","28.64","8.13","21.1","0","0"
"117","PJ Cummins (AUS)","2017-2020","15","15","51.0","0","368","16","2/13","23.00","7.21","19.1","0","0"
"118","Junaid Siddique (UAE)","2019-2020","13","13","42.2","1","271","16","4/12","16.93","6.40","15.8","1","0"
"119","GJ Maxwell (AUS)","2016-2021","42","21","42.0","0","334","16","3/10","20.87","7.95","15.7","0","0"
"120","JJ Smit (NAM)","2019-2019","12","10","37.1","0","234","16","3/19","14.62","6.29","13.9","0","0"
"121","Aftab Hussain (HKG)","2020-2020","9","9","34.0","1","225","15","3/14","15.00","6.61","13.6","0","0"
"122","MNM Aslam (KUW)","2019-2020","11","10","34.0","3","213","15","4/5","14.20","6.26","13.6","2","0"
"123","PKD Chase (IRE)","2018-2019","12","12","41.5","0","416","15","4/35","27.73","9.94","16.7","1","0"
"124","TL Chatara (ZIM)","2016-2020","12","12","42.0","1","342","15","3/20","22.80","8.14","16.8","0","0"
"125","N Pradeep (SL)","2016-2021","15","15","44.2","0","413","15","4/25","27.53","9.31","17.7","1","0"
"126","BE Hendricks (SA)","2017-2020","9","9","31.3","0","302","15","4/14","20.13","9.58","12.6","1","0"
"127","Mohammad Nawaz (3) (PAK)","2016-2021","17","17","54.0","1","337","15","2/11","22.46","6.24","21.6","0","0"
"128","B Muzarabani (ZIM)","2018-2021","10","10","37.5","0","330","15","3/21","22.00","8.72","15.1","0","0"
"129","KA Pollard (WI)","2016-2021","34","19","42.2","0","381","15","4/25","25.40","9.00","16.9","1","0"
"130","SC Williams (ZIM)","2018-2021","19","19","59.0","0","441","15","3/21","29.40","7.47","23.6","0","0"
"131","Ahmed Wardak (GER)","2019-2020","10","9","30.5","0","196","14","4/20","14.00","6.35","13.2","1","0"
"132","FA Allen (WI)","2018-2021","19","16","47.0","1","333","14","2/19","23.78","7.08","20.1","0","0"
"133","CJA Amini (PNG)","2019-2019","17","16","54.0","0","304","14","2/24","21.71","5.62","23.1","0","0"
"134","NM Coulter-Nile (AUS)","2016-2019","15","14","48.0","1","402","14","3/18","28.71","8.37","20.5","0","0"
"135","AW Hawkins-Kay (JER)","2019-2019","16","15","36.0","0","266","14","4/14","19.00","7.38","15.4","1","0"
"136","Ibrahim Hassan (Mald)","2019-2020","14","14","44.5","1","360","14","5/24","25.71","8.02","19.2","0","1"
"137","LC Le Tissier (GUE)","2019-2020","10","10","39.0","0","224","14","3/17","16.00","5.74","16.7","0","0"
"138","Mohammad Saifuddin (BDESH)","2017-2020","15","15","50.0","0","435","14","4/33","31.07","8.70","21.4","1","0"
"139","KH Pandya (INDIA)","2018-2019","18","18","66.2","1","538","14","4/36","38.42","8.11","28.4","1","0"
"140","K Rabada (SA)","2016-2020","13","13","47.3","0","446","14","3/39","31.85","9.38","20.3","0","0"
"141","Sami Sohail (MWI)","2019-2019","7","7","26.0","3","164","14","4/18","11.71","6.30","11.1","1","0"
"142","Sompal Kami (NEPAL)","2018-2019","17","17","52.0","0","376","14","3/23","26.85","7.23","22.2","0","0"
"143","BA Stokes (ENG)","2016-2021","21","19","51.2","0","431","14","3/26","30.78","8.39","22.0","0","0"
"144","SR Thompson (IRE)","2017-2019","24","21","60.3","0","541","14","4/18","38.64","8.94","25.9","1","0"
"145","Umar Adam (Mald)","2019-2020","14","11","38.0","0","271","14","3/17","19.35","7.13","16.2","0","0"
"146","JD Unadkat (INDIA)","2016-2018","10","10","34.4","0","301","14","3/38","21.50","8.68","14.8","0","0"
"147","A Vala (PNG)","2017-2019","20","12","35.1","1","196","14","3/7","14.00","5.57","15.0","0","0"
"148","KK Ahmed (INDIA)","2018-2019","14","14","52.0","1","459","13","2/27","35.30","8.82","24.0","0","0"
"149","Amir Hamza (AFG)","2016-2021","16","16","57.0","0","372","13","2/15","28.61","6.52","26.3","0","0"
"150","Amjad Javed (UAE)","2016-2017","7","7","26.0","1","185","13","3/12","14.23","7.11","12.0","0","0"
"151","Anwar Rahman (MAL)","2019-2020","11","10","30.3","1","151","13","4/16","11.61","4.95","14.0","1","0"
"152","RD Berrington (SCOT)","2017-2019","25","17","39.0","0","304","13","3/17","23.38","7.79","18.0","0","0"
"153","CJ Dala (SA)","2018-2021","10","10","32.0","1","307","13","3/35","23.61","9.59","14.7","0","0"
"154","RA Jadeja (INDIA)","2016-2020","17","16","50.3","1","370","13","2/18","28.46","7.32","23.3","0","0"
"155","Khizar Hayat (MAL)","2020-2020","9","9","33.0","0","244","13","5/4","18.76","7.39","15.2","0","1"
"156","SC Kuggeleijn (NZ)","2019-2020","16","15","47.5","0","434","13","3/27","33.38","9.07","22.0","0","0"
"157","A Mansale (VAN)","2019-2019","14","10","26.0","0","176","13","3/13","13.53","6.76","12.0","0","0"
"158","P Mishra (BUL)","2019-2020","10","9","28.5","1","208","13","3/12","16.00","7.21","13.3","0","0"
"159","GBW Munaweera (QAT)","2019-2020","12","12","42.0","0","282","13","2/18","21.69","6.71","19.3","0","0"
"160","SO Ngoche (KENYA)","2019-2019","9","9","34.3","0","221","13","2/6","17.00","6.40","15.9","0","0"
"161","KJ O'Brien (IRE)","2016-2020","45","13","36.0","0","384","13","4/45","29.53","10.66","16.6","1","0"
"162","D Pretorius (SA)","2017-2021","14","13","38.0","0","307","13","5/17","23.61","8.07","17.5","0","1"
"163","JA Richardson (AUS)","2017-2021","14","14","50.0","0","426","13","2/31","32.76","8.52","23.0","0","0"
"164","AD Russell (WI)","2016-2020","13","13","47.0","0","400","13","2/23","30.76","8.51","21.6","0","0"
"165","NA Saini (INDIA)","2019-2020","10","9","32.5","1","235","13","3/17","18.07","7.15","15.1","0","0"
"166","S Snater (NL)","2018-2019","13","12","34.5","0","337","13","3/42","25.92","9.67","16.0","0","0"
"167","Usman Shinwari (PAK)","2017-2019","14","14","46.0","0","363","13","3/31","27.92","7.89","21.2","0","0"
"168","Baljit Singh (ITA)","2019-2019","8","7","23.0","0","127","12","4/20","10.58","5.52","11.5","1","0"
"169","RP Burl (ZIM)","2018-2021","20","17","39.0","1","330","12","3/24","27.50","8.46","19.5","0","0"
"170","GDR Eranga (CAN)","2019-2019","9","9","31.5","1","204","12","3/19","17.00","6.40","15.9","0","0"
"171","MG Erasmus (NAM)","2019-2019","16","10","32.1","0","171","12","3/12","14.25","5.31","16.0","0","0"
"172","Haroon Arshad (HKG)","2019-2020","17","15","32.0","1","223","12","5/16","18.58","6.96","16.0","1","1"
"173","Izatullah Dawlatzai (GER)","2019-2020","12","12","42.5","0","248","12","3/23","20.66","5.78","21.4","0","0"
"174","A Krishna (SGP)","2019-2020","7","7","23.1","0","194","12","4/28","16.16","8.37","11.5","1","0"
"175","Muhammad Kashif (KUW)","2019-2020","15","11","30.0","1","236","12","3/30","19.66","7.86","15.0","0","0"
"176","J Mulder (IRE)","2016-2017","8","8","29.0","0","192","12","4/16","16.00","6.62","14.5","1","0"
"177","SP Narine (WI)","2016-2019","17","16","59.0","0","395","12","3/11","32.91","6.69","29.5","0","0"
"178","CO Obuya (KENYA)","2019-2019","9","8","21.5","0","132","12","4/27","11.00","6.04","10.9","1","0"
"179","WA Peatfield (GUE)","2019-2020","9","9","32.0","0","222","12","3/23","18.50","6.93","16.0","0","0"
"180","Shafiul Islam (BDESH)","2017-2020","9","9","30.0","1","257","12","3/36","21.41","8.56","15.0","0","0"
"181","Shapoor Zadran (AFG)","2016-2020","11","11","39.5","0","388","12","3/40","32.33","9.74","19.9","0","0"
"182","BDH Stevens (JER)","2019-2019","17","14","40.2","0","249","12","3/17","20.75","6.17","20.1","0","0"
"183","Usman Qadir (PAK)","2020-2021","6","6","22.0","0","136","12","4/13","11.33","6.18","11.0","1","0"
"184","S Vijayakumar (SGP)","2019-2019","9","9","28.0","1","204","12","4/25","17.00","7.28","14.0","1","0"
"185","JC Archer (ENG)","2019-2021","11","11","41.0","1","308","11","3/23","28.00","7.51","22.3","0","0"
"186","Ashiqullah Said (Belg)","2019-2020","7","7","27.0","0","145","11","3/15","13.18","5.37","14.7","0","0"
"187","MA Baig (MWI)","2019-2019","7","7","26.0","0","160","11","4/20","14.54","6.15","14.1","1","0"
"188","C de Grandhomme (NZ)","2017-2020","32","19","49.5","0","445","11","2/22","40.45","8.92","27.1","0","0"
"189","N Dutta (CAN)","2019-2019","11","11","39.0","0","253","11","2/12","23.00","6.48","21.2","0","0"
"190","H Gori (CZK-R)","2019-2020","11","11","35.0","0","218","11","3/13","19.81","6.22","19.0","0","0"
"191","Gulbadin Naib (AFG)","2016-2020","22","15","41.2","0","303","11","2/24","27.54","7.33","22.5","0","0"
"192","JO Holder (WI)","2017-2021","16","16","61.1","0","485","11","2/23","44.09","7.92","33.3","0","0"
"193","Ilyas Ahmed (KUW)","2019-2020","7","7","24.0","0","184","11","3/17","16.72","7.66","13.0","0","0"
"194","JB Little (IRE)","2016-2020","17","16","56.4","0","511","11","3/29","46.45","9.01","30.9","0","0"
"195","Mahmudullah (BDESH)","2016-2020","37","22","36.2","0","294","11","3/18","26.72","8.09","19.8","0","0"
"196","D Maisuria (Botsw)","2019-2019","6","5","17.1","0","121","11","4/28","11.00","7.04","9.3","1","0"
"197","BJ McCarthy (IRE)","2017-2020","10","10","34.1","0","370","11","4/33","33.63","10.82","18.6","1","0"
"198","Muhamad Syahadat (MAL)","2019-2019","10","8","21.0","0","127","11","3/7","11.54","6.04","11.4","0","0"
"199","SH Obed (VAN)","2019-2019","12","9","28.0","0","190","11","3/23","17.27","6.78","15.2","0","0"
"200","TK Patel (USA)","2019-2019","7","6","22.0","0","146","11","4/27","13.27","6.63","12.0","1","0"
"201","CA Soper (PNG)","2017-2019","10","9","24.5","0","110","11","2/6","10.00","4.42","13.5","0","0"
"202","Waheed Ahmed (UAE)","2019-2020","15","14","37.0","0","257","11","3/21","23.36","6.94","20.1","0","0"
"203","C Waiswa (UGA)","2019-2020","7","7","23.0","0","211","11","4/38","19.18","9.17","12.5","1","0"
"204","HR Walsh (USA/WI)","2019-2020","17","14","39.5","0","320","11","2/21","29.09","8.03","21.7","0","0"
"205","MM Ali (ENG)","2016-2020","21","19","46.2","0","418","10","2/21","41.80","9.02","27.8","0","0"
"206","Aminul Islam (BDESH)","2019-2020","7","7","23.0","0","176","10","3/34","17.60","7.65","13.8","0","0"
"207","P Arrighi (Arg)","2019-2019","5","5","19.0","2","84","10","5/4","8.40","4.42","11.4","0","1"
"208","PVD Chameera (SL)","2016-2021","11","11","40.0","0","344","10","2/22","34.40","8.60","24.0","0","0"
"209","K Christie (HKG)","2019-2019","11","11","39.0","0","292","10","2/23","29.20","7.48","23.4","0","0"
"210","M Cope (LUX)","2019-2020","6","6","21.0","0","175","10","3/16","17.50","8.33","12.6","0","0"
"211","SM Curran (ENG)","2019-2021","12","11","35.0","1","291","10","3/28","29.10","8.31","21.0","0","0"
"212","Fayyaz Butt (OMAN)","2019-2019","14","14","43.3","0","313","10","3/16","31.30","7.19","26.1","0","0"
"213","Imran Anwar (BHR)","2019-2020","8","8","31.0","2","212","10","2/10","21.20","6.83","18.6","0","0"
"214","KMDN Kulasekara (SL)","2016-2017","9","9","31.0","0","267","10","4/31","26.70","8.61","18.6","1","0"
"215","A Nanda (LUX)","2019-2020","5","5","14.2","0","90","10","5/6","9.00","6.27","8.6","0","1"
"216","Naveen-ul-Haq (AFG)","2019-2021","6","6","22.0","0","150","10","3/21","15.00","6.81","13.2","0","0"
"217","LN Oluoch (KENYA)","2019-2019","9","9","27.0","1","179","10","3/22","17.90","6.62","16.2","0","0"
"218","LN Rajbanshi (NEPAL)","2018-2019","12","12","38.2","0","231","10","3/6","23.10","6.02","23.0","0","0"
"219","SHA Rance (NZ)","2017-2019","8","7","27.0","0","245","10","3/26","24.50","9.07","16.2","0","0"
"220","B Regmi (NEPAL)","2018-2019","7","7","24.0","0","178","10","3/20","17.80","7.41","14.4","0","0"
"221","MP Stoinis (AUS)","2017-2021","27","17","41.2","0","346","10","2/27","34.60","8.37","24.8","0","0"
"222","B Ward (JER)","2019-2019","13","13","39.2","2","249","10","3/19","24.90","6.33","23.6","0","0"
"223","Zeeshan Maqsood (OMAN)","2017-2020","19","14","44.0","0","248","10","4/7","24.80","5.63","26.4","1","0"
"224","Abdul Wahid (Saudi)","2019-2020","8","8","24.0","1","162","9","4/14","18.00","6.75","16.0","1","0"
"225","Al-Amin Hossain (BDESH)","2016-2020","9","9","33.0","0","216","9","2/22","24.00","6.54","22.0","0","0"
"226","Atif Mehmood (ESP)","2019-2019","9","9","27.0","0","154","9","2/14","17.11","5.70","18.0","0","0"
"227","Bilal Zalmai (Aut)","2019-2019","5","4","14.0","1","66","9","4/12","7.33","4.71","9.3","1","0"
"228","OD Hald (DEN)","2019-2019","9","7","21.3","0","113","9","3/18","12.55","5.25","14.3","0","0"
"229","PD Hennessy (ESP)","2019-2020","10","5","12.0","1","86","9","3/27","9.55","7.16","8.0","0","0"
"230","DR Hooper (GUE)","2019-2019","9","9","31.2","0","211","9","3/5","23.44","6.73","20.8","0","0"
"231","ND Laegsgaard (DEN)","2019-2019","9","7","23.0","0","105","9","2/5","11.66","4.56","15.3","0","0"
"232","KS Leverock (BMUDA)","2019-2019","12","8","26.0","0","210","9","3/19","23.33","8.07","17.3","0","0"
"233","PK Matautaava (VAN)","2019-2019","10","8","28.0","1","199","9","2/9","22.11","7.10","18.6","0","0"
"234","Md Nurul Huda (Fin)","2019-2019","5","5","16.3","0","118","9","3/11","13.11","7.15","11.0","0","0"
"235","K Mendon (CZK-R)","2019-2020","11","9","23.4","1","193","9","3/19","21.44","8.15","15.7","0","0"
"236","GRD Munasinghe (ITA)","2019-2019","8","7","27.0","1","191","9","4/11","21.22","7.07","18.0","1","0"
"237","A Neill (SCOT)","2019-2019","5","5","20.0","0","154","9","3/21","17.11","7.70","13.3","0","0"
