"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","four","five"
"238","D Paterson (SA)","2017-2018","8","8","29.5","0","265","9","4/32","29.44","8.88","19.8","1","0"
"239","JRMVB Sanjaya (SL)","2017-2017","8","8","28.5","1","250","9","2/20","27.77","8.67","19.2","0","0"
"240","R Satheesan (ROM)","2019-2020","8","6","18.0","2","71","9","3/14","7.88","3.94","12.0","0","0"
"241","KD Shah (HKG)","2019-2020","20","18","54.0","2","386","9","2/9","42.88","7.14","36.0","0","0"
"242","L Siaka (PNG)","2017-2019","20","5","12.0","0","56","9","3/16","6.22","4.66","8.0","0","0"
"243","JE Taylor (WI)","2016-2018","10","10","32.0","0","304","9","2/31","33.77","9.50","21.3","0","0"
"244","TC Vine (ESP)","2019-2020","8","7","19.0","0","147","9","4/28","16.33","7.73","12.6","1","0"
"245","CG Williams (NAM)","2019-2019","13","10","23.0","1","142","9","3/9","15.77","6.17","15.3","0","0"
"246","Abdul Majid (BHR)","2020-2020","4","4","16.0","0","78","8","4/23","9.75","4.87","12.0","1","0"
"247","OGL Bascome (BMUDA)","2019-2019","11","6","15.1","0","117","8","4/10","14.62","7.71","11.3","1","0"
"248","MNR Cooray (Mald)","2019-2020","7","7","24.2","0","174","8","3/26","21.75","7.15","18.2","0","0"
"249","DC Delany (IRE)","2019-2019","8","8","28.3","0","222","8","2/12","27.75","7.78","21.3","0","0"
"250","M Faheem (THAI)","2019-2020","7","7","20.0","0","133","8","2/11","16.62","6.65","15.0","0","0"
"251","Faran Afzal (ESP)","2019-2019","9","8","29.0","0","143","8","3/11","17.87","4.93","21.7","0","0"
"252","H Fennell (Arg)","2019-2019","5","5","12.0","1","57","8","4/12","7.12","4.75","9.0","1","0"
"253","SC Getkate (IRE)","2019-2020","15","14","35.0","0","323","8","2/15","40.37","9.22","26.2","0","0"
"254","K Gore (USA)","2019-2019","4","4","16.0","2","70","8","3/5","8.75","4.37","12.0","0","0"
"255","Z Groenewald (NAM)","2019-2019","10","10","28.0","2","163","8","3/20","20.37","5.82","21.0","0","0"
"256","L Hermida (Mex)","2019-2019","5","5","18.0","1","94","8","3/20","11.75","5.22","13.5","0","0"
"257","Inam-ul-Haq (QAT)","2019-2019","11","10","31.0","2","211","8","2/23","26.37","6.80","23.2","0","0"
"258","Mohammad Hafeez (PAK)","2016-2020","23","11","19.5","1","113","8","2/3","14.12","5.69","14.8","0","0"
"259","Mohamed Mahfooz (Mald)","2019-2019","11","11","37.5","0","262","8","2/20","32.75","6.92","28.3","0","0"
"260","AK Muslar (Blz)","2019-2019","3","3","9.0","1","41","8","3/10","5.12","4.55","6.7","0","0"
"261","Nasrulla Rana (HKG)","2019-2020","11","11","26.3","0","223","8","3/25","27.87","8.41","19.8","0","0"
"262","Nazmul Islam (BDESH)","2018-2018","13","12","38.3","2","265","8","3/28","33.12","6.88","28.8","0","0"
"263","AR Nurse (WI)","2017-2019","9","9","27.0","0","216","8","2/6","27.00","8.00","20.2","0","0"
"264","GH O'Brien (BMUDA)","2019-2019","8","8","27.3","2","191","8","2/14","23.87","6.94","20.6","0","0"
"265","E Otieno (KENYA)","2019-2019","8","8","22.3","0","192","8","3/29","24.00","8.53","16.8","0","0"
"266","R Panchal (ESP)","2019-2020","11","11","35.0","1","186","8","3/22","23.25","5.31","26.2","0","0"
"267","Rakibul Hasan (ITA)","2019-2019","8","7","23.0","2","147","8","2/20","18.37","6.39","17.2","0","0"
"268","Rumman Raees (PAK)","2016-2018","8","8","28.5","2","220","8","2/24","27.50","7.63","21.6","0","0"
"269","P Taylor (CZK-R)","2019-2019","7","6","18.0","0","144","8","4/28","18.00","8.00","13.5","1","0"
"270","RJ Trott (BMUDA)","2019-2019","12","11","32.0","0","235","8","2/15","29.37","7.34","24.0","0","0"
"271","R van der Merwe (Arg)","2019-2019","5","5","13.0","2","62","8","3/9","7.75","4.76","9.7","0","0"
"272","Waqar Khan (Peru)","2019-2019","4","4","13.0","0","86","8","3/21","10.75","6.61","9.7","0","0"
"273","UT Yadav (INDIA)","2018-2019","6","6","22.0","0","195","8","2/19","24.37","8.86","16.5","0","0"
"274","KJ Abbott (SA)","2016-2016","3","3","11.1","0","91","7","3/41","13.00","8.14","9.5","0","0"
"275","Abdul-Shakoor Rahimzei (GER)","2019-2020","9","6","15.3","0","101","7","2/10","14.42","6.51","13.2","0","0"
"276","Ameel Mauroof (Mald)","2019-2020","13","13","32.0","0","270","7","2/13","38.57","8.43","27.4","0","0"
"277","Bashir Shah (DEN)","2019-2019","4","4","14.0","0","76","7","3/14","10.85","5.42","12.0","0","0"
"278","V Baskaran (SGP)","2019-2020","13","13","38.0","2","258","7","2/13","36.85","6.78","32.5","0","0"
"279","JP Behrendorff (AUS)","2017-2019","7","6","16.0","0","117","7","4/21","16.71","7.31","13.7","1","0"
"280","S Bhari (NEPAL)","2019-2020","8","8","25.0","0","176","7","2/22","25.14","7.04","21.4","0","0"
"281","S Davizi (CZK-R)","2019-2020","6","3","5.2","0","43","7","4/15","6.14","8.06","4.5","1","0"
"282","Delawar Khan (DEN)","2019-2019","9","7","20.0","1","129","7","2/21","18.42","6.45","17.1","0","0"
"283","Hirenkumar Patel (Chile)","2019-2019","4","4","15.0","0","82","7","4/21","11.71","5.46","12.8","1","0"
"284","Ibrarul Haq (Saudi)","2019-2019","5","5","17.0","0","116","7","3/28","16.57","6.82","14.5","0","0"
"285","Imran Ali (KUW)","2019-2019","4","4","15.0","0","136","7","3/16","19.42","9.06","12.8","0","0"
"286","Imran Haider (UAE)","2016-2019","11","11","31.0","0","250","7","1/16","35.71","8.06","26.5","0","0"
"287","Jasdeep Singh (USA)","2019-2019","4","4","14.0","1","140","7","2/18","20.00","10.00","12.0","0","0"
"288","NR Kumar (CAN)","2019-2019","12","10","26.0","0","160","7","2/18","22.85","6.15","22.2","0","0"
"289","MA Leask (SCOT)","2017-2019","18","14","32.3","0","303","7","3/31","43.28","9.32","27.8","0","0"
"290","NA Maiolo (ITA)","2019-2019","8","7","28.0","0","152","7","2/8","21.71","5.42","24.0","0","0"
"291","ZE Matsinhe (Moz)","2019-2019","7","5","16.0","0","101","7","3/27","14.42","6.31","13.7","0","0"
"292","Mohammad Hasnain (PAK)","2019-2020","10","10","40.0","0","297","7","3/37","42.42","7.42","34.2","0","0"
"293","Mohammed Shami (INDIA)","2016-2020","8","8","29.4","0","303","7","2/25","43.28","10.21","25.4","0","0"
"294","Muslim Yar (GER)","2019-2020","8","8","23.0","1","147","7","2/17","21.00","6.39","19.7","0","0"
"295","JDS Neesham (NZ)","2017-2021","16","11","20.3","0","251","7","2/10","35.85","12.24","17.5","0","0"
"296","A Nehra (INDIA)","2016-2017","8","8","30.0","1","205","7","3/28","29.28","6.83","25.7","0","0"
"297","AM Phangiso (SA)","2016-2018","7","7","23.0","0","167","7","2/26","23.85","7.26","19.7","0","0"
"298","K Pierre (WI)","2018-2020","10","10","28.0","0","269","7","2/44","38.42","9.60","24.0","0","0"
"299","S Prasanna (SL)","2016-2017","14","12","38.0","1","258","7","1/14","36.85","6.78","32.5","0","0"
"300","CAK Rajitha (SL)","2016-2019","8","8","29.0","0","284","7","3/44","40.57","9.79","24.8","0","0"
"301","A Rangaswamy (Botsw)","2019-2019","4","4","9.4","1","83","7","4/21","11.85","8.58","8.2","1","0"
"302","MJ Ross (ITA)","2019-2019","8","7","19.0","0","120","7","4/15","17.14","6.31","16.2","1","0"
"303","Sayed Monib (KUW)","2020-2020","5","5","16.0","0","133","7","2/17","19.00","8.31","13.7","0","0"
"304","MD Shanaka (SL)","2016-2020","32","12","23.1","0","177","7","2/27","25.28","7.64","19.8","0","0"
"305","B Shikongo (NAM)","2019-2019","11","10","23.0","0","131","7","2/4","18.71","5.69","19.7","0","0"
"306","Sohail Tanvir (PAK)","2016-2017","7","7","26.5","0","186","7","3/13","26.57","6.93","23.0","0","0"
"307","M Spry (Peru)","2019-2019","4","4","10.0","0","62","7","4/8","8.85","6.20","8.5","1","0"
"308","DW Steyn (SA)","2016-2020","7","7","25.0","1","234","7","2/31","33.42","9.36","21.4","0","0"
"309","JTS Sumerauer (JER)","2019-2019","8","8","20.1","0","155","7","2/10","22.14","7.68","17.2","0","0"
"310","MJ Swepson (AUS)","2018-2020","4","4","14.0","0","106","7","3/23","15.14","7.57","12.0","0","0"
"311","BM Wheeler (NZ)","2017-2018","6","6","21.2","0","216","7","2/16","30.85","10.12","18.2","0","0"
"312","M Abdulla (MWI)","2019-2019","5","3","12.0","0","76","6","3/25","12.66","6.33","12.0","0","0"
"313","Abdullah Akbarjan (Aut)","2019-2019","5","4","13.0","0","72","6","3/20","12.00","5.53","13.0","0","0"
"314","IKO Aboagye (Ghana)","2019-2019","4","4","14.0","0","83","6","3/26","13.83","5.92","14.0","0","0"
"315","VD Adewoye (NGA)","2019-2019","7","7","16.2","1","135","6","4/18","22.50","8.26","16.3","1","0"
"316","Afif Hossain (BDESH)","2018-2020","12","9","15.0","1","121","6","2/9","20.16","8.06","15.0","0","0"
"317","A Ahmadhel (BUL)","2019-2020","6","6","14.4","0","124","6","2/16","20.66","8.45","14.6","0","0"
"318","CM Akachukwu (NGA)","2019-2019","8","8","18.2","0","151","6","2/34","25.16","8.23","18.3","0","0"
"319","Amir Hayat (UAE)","2018-2019","4","4","14.0","0","103","6","2/16","17.16","7.35","14.0","0","0"
"320","HK Bennett (NZ)","2020-2020","7","7","21.5","0","231","6","3/54","38.50","10.58","21.8","0","0"
"321","JW Chilia (VAN)","2019-2019","14","13","47.2","0","315","6","1/21","52.50","6.65","47.3","0","0"
"322","WJ Cope (LUX)","2020-2020","4","4","11.0","0","70","6","4/18","11.66","6.36","11.0","1","0"
"323","F Damiao Couana (Moz)","2019-2019","7","5","18.5","2","118","6","3/10","19.66","6.26","18.8","0","0"
"324","Dawlat Zadran (AFG)","2016-2019","6","6","20.3","0","220","6","4/44","36.66","10.73","20.5","1","0"
"325","CD de Lange (SCOT)","2017-2017","4","4","16.0","0","99","6","2/17","16.50","6.18","16.0","0","0"
"326","JL Denly (ENG)","2018-2020","8","5","11.0","0","84","6","4/19","14.00","7.63","11.0","1","0"
"327","P Florin (ROM)","2019-2020","8","6","7.4","0","68","6","2/3","11.33","8.86","7.6","0","0"
"328","JOA Gordon (CAN)","2019-2019","5","5","18.5","0","122","6","3/14","20.33","6.47","18.8","0","0"
"329","MD Gunathilaka (SL)","2016-2021","23","11","19.4","0","147","6","2/3","24.50","7.47","19.6","0","0"
"330","S Hirugade (Mex)","2019-2019","6","5","13.3","0","92","6","4/16","15.33","6.81","13.5","1","0"
"331","Irfan Bhima (MWI)","2019-2019","4","4","15.0","3","51","6","3/14","8.50","3.40","15.0","0","0"
"332","S Kaveri (Mex)","2019-2019","7","5","13.0","0","70","6","2/10","11.66","5.38","13.0","0","0"
"333","P Khadka (NEPAL)","2018-2020","22","15","30.0","1","190","6","2/11","31.66","6.33","30.0","0","0"
"334","Khalid Ahmadi (Belg)","2020-2020","4","4","16.0","0","79","6","3/14","13.16","4.93","16.0","0","0"
"335","CBRLS Kumara (SL)","2019-2020","7","6","22.3","0","201","6","2/24","33.50","8.93","22.5","0","0"
"336","N Madziva (ZIM)","2016-2019","9","9","25.5","0","223","6","2/25","37.16","8.63","25.8","0","0"
"337","JL Martel (GUE)","2019-2019","3","3","11.0","0","59","6","3/15","9.83","5.36","11.0","0","0"
"338","BMAJ Mendis (SL)","2018-2018","6","6","17.0","0","133","6","2/21","22.16","7.82","17.0","0","0"
"339","CAJ Meschede (GER)","2019-2019","5","5","20.0","0","115","6","2/11","19.16","5.75","20.0","0","0"
"340","AF Milne (NZ)","2016-2018","6","6","19.4","0","158","6","2/25","26.33","8.03","19.6","0","0"
"341","M Mooketsi (Botsw)","2019-2019","7","7","25.0","0","197","6","2/31","32.83","7.88","25.0","0","0"
"342","A Morris (Caym)","2019-2019","6","6","22.0","1","114","6","2/17","19.00","5.18","22.0","0","0"
"343","Muhammad Ansar (KUW)","2020-2020","4","4","13.5","0","143","6","3/27","23.83","10.33","13.8","0","0"
"344","D Muhumuza (UGA)","2019-2020","7","5","12.4","1","85","6","5/13","14.16","6.71","12.6","0","1"
"345","T Natarajan (INDIA)","2020-2020","3","3","12.0","0","83","6","3/30","13.83","6.91","12.0","0","0"
"346","NM Odhiambo (KENYA)","2019-2019","8","7","23.0","0","192","6","3/30","32.00","8.34","23.0","0","0"
"347","IO Okpe (NGA)","2019-2019","8","8","20.5","1","188","6","2/17","31.33","9.02","20.8","0","0"
"348","SA Okpe (NGA)","2019-2019","8","7","12.2","0","94","6","2/22","15.66","7.62","12.3","0","0"
"349","BA Pai (GIBR)","2019-2019","4","4","15.0","0","82","6","3/14","13.66","5.46","15.0","0","0"
"350","KA Reynolds (Blz)","2019-2019","3","3","11.0","0","60","6","3/26","10.00","5.45","11.0","0","0"
"351","Saber Zakhil (Belg)","2019-2020","7","7","25.0","0","164","6","3/20","27.33","6.56","25.0","0","0"
"352","L Shafeeg (Mald)","2019-2020","6","5","18.0","0","141","6","3/33","23.50","7.83","18.0","0","0"
"353","PH Shamdasani (Peru)","2019-2019","4","4","12.0","1","70","6","2/8","11.66","5.83","12.0","0","0"
"354","Shiraz Khan (KUW)","2019-2020","11","11","34.0","1","210","6","2/35","35.00","6.17","34.0","0","0"
"355","Shoaib Qureshi (Fin)","2019-2019","5","5","13.4","0","109","6","2/22","18.16","7.97","13.6","0","0"
"356","Sidhant Singh (SGP)","2019-2020","11","8","23.0","0","216","6","2/27","36.00","9.39","23.0","0","0"
"357","TB Sole (SCOT)","2019-2019","9","6","21.0","0","137","6","2/15","22.83","6.52","21.0","0","0"
"358","Soumya Sarkar (BDESH)","2016-2020","34","13","25.0","0","260","6","2/29","43.33","10.40","25.0","0","0"
"359","BB Sran (INDIA)","2016-2016","2","2","8.0","1","41","6","4/10","6.83","5.12","8.0","1","0"
"360","Tariq Aziz (PORT)","2019-2019","4","4","16.0","0","70","6","3/20","11.66","4.37","16.0","0","0"
"361","Tauqeer Hussain (ESP)","2019-2020","6","6","14.3","0","86","6","2/12","14.33","5.93","14.5","0","0"
"362","S Vashisht (ROM)","2019-2020","6","6","19.1","2","86","6","3/11","14.33","4.48","19.1","0","0"
"363","V Vijh (LUX)","2019-2020","8","7","20.3","0","185","6","2/24","30.83","9.02","20.5","0","0"
"364","Waqas Barkat (HKG)","2017-2020","20","16","33.2","0","260","6","2/13","43.33","7.80","33.3","0","0"
"365","S Wickramasekara (CZK-R)","2019-2020","9","9","31.3","1","216","6","2/0","36.00","6.85","31.5","0","0"
"366","Yasir Ali (ESP)","2019-2020","11","7","16.5","0","103","6","2/11","17.16","6.11","16.8","0","0"
"367","Zeshan Arif (Aut)","2019-2019","3","3","7.5","0","49","6","4/10","8.16","6.25","7.8","1","0"
"368","AG Achar (SGP)","2019-2020","5","5","13.0","0","76","5","2/21","15.20","5.84","15.6","0","0"
"369","CN Ackermann (NL)","2019-2019","11","10","25.0","0","147","5","1/6","29.40","5.88","30.0","0","0"
"370","Amjad Sher (Fin)","2019-2019","5","5","18.0","2","88","5","2/22","17.60","4.88","21.6","0","0"
"371","R Ankad (Mex)","2019-2019","8","8","23.4","1","178","5","3/22","35.60","7.52","28.4","0","0"
"372","Arshad Hayat (CZK-R)","2019-2019","7","5","10.0","0","103","5","2/15","20.60","10.30","12.0","0","0"
"373","R Ashwin (INDIA)","2016-2017","7","7","22.0","0","169","5","2/11","33.80","7.68","26.4","0","0"
"374","Babar Ali (BHR)","2019-2019","3","3","9.0","0","70","5","2/18","14.00","7.77","10.8","0","0"
"375","H Dandapani (Fin)","2019-2019","5","5","15.0","0","90","5","2/6","18.00","6.00","18.0","0","0"
"376","TH David (SGP)","2019-2020","14","11","27.2","0","255","5","1/18","51.00","9.32","32.8","0","0"
"377","LA Dawson (ENG)","2016-2018","6","6","20.0","0","152","5","3/27","30.40","7.60","24.0","0","0"
"378","DM de Silva (SL)","2016-2020","14","9","18.0","0","128","5","2/22","25.60","7.11","21.6","0","0"
"379","AC Douglas (BMUDA)","2019-2019","10","2","4.2","0","30","5","5/18","6.00","6.92","5.2","0","1"
"380","S Dube (INDIA)","2019-2020","13","11","21.3","0","216","5","3/30","43.20","10.04","25.8","0","0"
"381","JP Duminy (SA)","2016-2019","13","7","15.0","0","124","5","2/23","24.80","8.26","18.0","0","0"
"382","BC Fortuin (SA)","2019-2021","6","6","17.0","0","135","5","2/19","27.00","7.94","20.4","0","0"
"383","R Frylinck (SA)","2017-2018","3","3","10.0","0","62","5","2/20","12.40","6.20","12.0","0","0"
"384","GC Galanis ()","2019-2019","2","2","4.2","0","32","5","3/32","6.40","7.38","5.2","0","0"
"385","DAS Gunaratne (SL)","2017-2017","11","9","22.0","0","182","5","1/11","36.40","8.27","26.4","0","0"
"386","J Hurley (Arg)","2019-2019","3","3","10.0","0","33","5","3/13","6.60","3.30","12.0","0","0"
"387","Ijaz Hussain (ROM)","2019-2020","5","5","13.5","0","114","5","2/19","22.80","8.24","16.6","0","0"
"388","Imran Butt (BHR)","2020-2020","4","4","12.0","0","104","5","2/24","20.80","8.66","14.4","0","0"
"389","R Kumar (ROM)","2019-2019","4","3","12.0","0","98","5","2/28","19.60","8.16","14.4","0","0"
"390","UKPW Kumaranayaka (KUW)","2019-2020","7","7","26.0","0","208","5","2/26","41.60","8.00","31.2","0","0"
"391","OC McCoy (WI)","2019-2021","5","4","15.0","0","132","5","2/25","26.40","8.80","18.0","0","0"
"392","WP Masakadza (ZIM)","2018-2020","6","6","17.0","0","134","5","1/14","26.80","7.88","20.4","0","0"
"393","Mashrafe Mortaza (BDESH)","2016-2017","8","8","26.2","0","216","5","2/32","43.20","8.20","31.6","0","0"
"394","NSK Mehta (Belg)","2020-2020","4","4","16.0","0","117","5","2/15","23.40","7.31","19.2","0","0"
"395","A Mishra (INDIA)","2016-2017","3","3","12.0","0","72","5","3/24","14.40","6.00","14.4","0","0"
"396","DJ Mitchell (NZ)","2019-2020","12","5","9.1","0","89","5","2/27","17.80","9.70","11.0","0","0"
"397","Mohammad Shahzad (UAE)","2016-2017","5","4","13.5","0","140","5","3/34","28.00","10.12","16.6","0","0"
"398","Mosaddek Hossain (BDESH)","2017-2019","13","11","19.4","0","150","5","2/21","30.00","7.62","23.6","0","0"
"399","Muhammad Nadeem (Saudi)","2019-2019","5","2","5.0","0","49","5","3/16","9.80","9.80","6.0","0","0"
"400","Muhammad Saleem ()","2019-2019","4","4","11.0","1","45","5","3/19","9.00","4.09","13.2","0","0"
"401","Muhammad Wafiq (MAL)","2019-2019","4","4","16.0","1","114","5","3/10","22.80","7.12","19.2","0","0"
"402","CT Mutombodzi (ZIM)","2016-2020","12","6","16.0","0","107","5","2/12","21.40","6.68","19.2","0","0"
"403","Nadeem Ahmed (HKG)","2016-2017","4","4","16.0","0","115","5","2/24","23.00","7.18","19.2","0","0"
"404","DM Nakrani (UGA)","2019-2019","4","4","12.0","0","93","5","2/29","18.60","7.75","14.4","0","0"
"405","W Nalisa (VAN)","2019-2019","9","7","20.0","0","177","5","2/25","35.40","8.85","24.0","0","0"
"406","Naveed Ahmed (CZK-R)","2019-2020","10","7","14.0","0","98","5","3/10","19.60","7.00","16.8","0","0"
"407","R Ngarava (ZIM)","2019-2021","4","4","15.1","0","156","5","2/43","31.20","10.28","18.2","0","0"
"408","MW Parkinson (ENG)","2019-2019","2","2","6.0","0","61","5","4/47","12.20","10.16","7.2","1","0"
"409","MIA Patel (MWI)","2019-2019","3","3","12.0","0","83","5","3/25","16.60","6.91","14.4","0","0"
"410","NK Patel (USA)","2019-2019","4","4","13.0","1","61","5","2/8","12.20","4.69","15.6","0","0"
"411","RB Patel (BUL)","2020-2020","7","6","17.0","0","126","5","2/20","25.20","7.41","20.4","0","0"
"412","SS Pathirana (SL)","2016-2017","5","5","15.5","0","119","5","2/23","23.80","7.51","19.0","0","0"
"413","Raja Adeel (ESP)","2019-2020","5","5","18.0","0","71","5","2/15","14.20","3.94","21.6","0","0"
"414","J Rasu (VAN)","2019-2019","13","2","3.5","0","44","5","5/36","8.80","11.47","4.6","0","1"
"415","DMW Rawlins (BMUDA)","2019-2019","11","11","37.0","0","285","5","2/22","57.00","7.70","44.4","0","0"
"416","Raza Iqbal (NOR)","2019-2019","5","4","13.0","0","85","5","2/20","17.00","6.53","15.6","0","0"
"417","LH Rodrigues ()","2019-2019","4","4","13.0","1","61","5","3/15","12.20","4.69","15.6","0","0"
"418","N Senamontree (THAI)","2020-2020","4","4","12.3","1","95","5","2/25","19.00","7.60","15.0","0","0"
"419","HAM Shah (DEN)","2019-2019","9","4","10.0","0","86","5","4/23","17.20","8.60","12.0","1","0"
"420","V Shankar (INDIA)","2018-2019","9","6","21.0","0","191","5","2/32","38.20","9.09","25.2","0","0"
"421","L Sipamla (SA)","2019-2021","9","9","27.2","0","265","5","2/22","53.00","9.69","32.8","0","0"
"422","ACF Stokes (GUE)","2019-2020","8","8","27.2","0","171","5","2/26","34.20","6.25","32.8","0","0"
"423","Sulaiman Ali (BUL)","2020-2020","6","5","13.5","0","113","5","2/8","22.60","8.16","16.6","0","0"
"424","BM Tickner (NZ)","2019-2020","6","6","22.0","0","212","5","2/25","42.40","9.63","26.4","0","0"
"425","DT Tiripano (ZIM)","2016-2021","9","9","28.5","0","246","5","3/20","49.20","8.53","34.6","0","0"
"426","Usama Master (MWI)","2019-2019","6","5","13.1","0","106","5","2/24","21.20","8.05","15.8","0","0"
"427","Usman Ali (Saudi)","2019-2020","8","8","28.4","1","188","5","1/5","37.60","6.55","34.4","0","0"
"428","JDF Vandersay (SL)","2016-2019","6","6","23.0","1","147","5","2/26","29.40","6.39","27.6","0","0"
"429","W Viraliliu (VAN)","2019-2019","10","9","20.2","0","164","5","3/19","32.80","8.06","24.4","0","0"
"430","S Waqas Ahmed (NOR)","2019-2019","5","4","10.0","0","83","5","2/24","16.60","8.30","12.0","0","0"
"431","SR Watson (AUS)","2016-2016","4","4","14.0","0","103","5","2/23","20.60","7.35","16.8","0","0"
"432","AA Westphal (Mex)","2019-2019","5","5","19.0","0","65","5","2/10","13.00","3.42","22.8","0","0"
"433","Yasar Haroon ()","2019-2019","4","4","13.0","1","72","5","2/18","14.40","5.53","15.6","0","0"
"434","Abdul Rahman (Aut)","2019-2019","3","3","10.0","1","72","4","2/37","18.00","7.20","15.0","0","0"
"435","Abu Jayed (BDESH)","2018-2018","3","3","11.0","0","106","4","2/27","26.50","9.63","16.5","0","0"
"436","Adil Butt (Saudi)","2020-2020","3","3","9.0","0","55","4","2/15","13.75","6.11","13.5","0","0"
"437","Aftab Alam (AFG)","2016-2018","6","6","21.0","0","158","4","2/30","39.50","7.52","31.5","0","0"
"438","SA Ahmad (DEN)","2019-2019","5","3","9.0","1","40","4","3/9","10.00","4.44","13.5","0","0"
"439","D Ajekun (NGA)","2019-2019","6","6","11.1","0","76","4","1/5","19.00","6.80","16.7","0","0"
"440","NN Akhter (MLT)","2020-2020","3","2","8.0","0","60","4","3/35","15.00","7.50","12.0","0","0"
"441","Amar Sharma (MLT)","2020-2020","3","2","8.0","0","62","4","3/23","15.50","7.75","12.0","0","0"
"442","MA Aponso (SL)","2018-2018","3","3","10.0","0","79","4","2/29","19.75","7.90","15.0","0","0"
"443","Arslan Ahmed ()","2019-2019","3","3","9.0","1","40","4","3/15","10.00","4.44","13.5","0","0"
"444","U Aryaman Sunil (SGP)","2019-2020","5","5","12.0","0","87","4","2/33","21.75","7.25","18.0","0","0"
"445","A Aspiotis ()","2019-2019","3","3","11.0","0","71","4","2/24","17.75","6.45","16.5","0","0"
"446","Asrar Ahmed ()","2019-2019","3","3","10.0","2","46","4","2/4","11.50","4.60","15.0","0","0"
"447","R Avery ()","2019-2019","4","4","11.0","0","66","4","2/13","16.50","6.00","16.5","0","0"
"448","JD Baker (Samoa)","2019-2019","4","4","13.0","0","107","4","2/32","26.75","8.23","19.5","0","0"
"449","Bakhtiar Tahiri (BUL)","2020-2020","7","5","15.0","0","154","4","2/18","38.50","10.26","22.5","0","0"
"450","HH Banner (Blz)","2019-2019","3","3","12.0","1","67","4","2/18","16.75","5.58","18.0","0","0"
"451","S Bau (PNG)","2017-2019","20","9","13.0","0","68","4","2/4","17.00","5.23","19.5","0","0"
"452","TS Braat (NL)","2019-2019","3","3","10.0","0","70","4","3/26","17.50","7.00","15.0","0","0"
"453","J Bulele (Moz)","2019-2019","7","5","14.2","0","107","4","2/30","26.75","7.46","21.5","0","0"
"454","DE Burgess (Samoa)","2019-2019","4","3","8.3","0","86","4","3/47","21.50","10.11","12.7","0","0"
"455","I Danladi (NGA)","2019-2019","3","3","9.0","0","52","4","2/10","13.00","5.77","13.5","0","0"
"456","K Dasan (BUL)","2019-2020","10","2","8.0","0","52","4","3/23","13.00","6.50","12.0","0","0"
"457","JA Duffy (NZ)","2020-2020","1","1","4.0","0","33","4","4/33","8.25","8.25","6.0","1","0"
"458","RR Emrit (WI)","2018-2018","4","4","16.0","0","156","4","1/24","39.00","9.75","24.0","0","0"
"459","S Goustis ()","2019-2019","3","3","9.0","1","42","4","2/28","10.50","4.66","13.5","0","0"
"460","Habib Ahmadzai (Aut)","2019-2019","2","2","4.0","0","25","4","4/12","6.25","6.25","6.0","1","0"
"461","Jandu Hamoud (KUW)","2019-2019","6","6","16.0","0","112","4","2/25","28.00","7.00","24.0","0","0"
"462","MC Henriques (AUS)","2016-2020","10","6","15.0","0","124","4","3/22","31.00","8.26","22.5","0","0"
"463","Z Hoque (THAI)","2019-2020","7","7","21.0","0","122","4","1/13","30.50","5.80","31.5","0","0"
"464","MG Hunter (GIBR)","2019-2019","4","4","11.3","0","63","4","2/22","15.75","5.47","17.2","0","0"
"465","Hussain Talat (PAK)","2018-2021","18","6","6.0","0","54","4","2/12","13.50","9.00","9.0","0","0"
"466","AF Ifill (Caym)","2019-2019","6","6","18.3","1","151","4","1/7","37.75","8.16","27.7","0","0"
"467","Imran Bulbulia (PNM)","2019-2019","3","3","10.0","0","59","4","2/20","14.75","5.90","15.0","0","0"
"468","RK Inampud (Mex)","2019-2019","3","3","12.0","0","68","4","2/29","17.00","5.66","18.0","0","0"
"469","DF Jacobs (THAI)","2019-2020","8","2","5.0","0","26","4","4/13","6.50","5.20","7.5","1","0"
"470","KA Jamieson (NZ)","2020-2021","8","8","28.4","0","281","4","2/15","70.25","9.80","43.0","0","0"
"471","MO Jones (BMUDA)","2019-2019","8","7","15.0","0","116","4","2/26","29.00","7.73","22.5","0","0"
"472","ST Kanakalil (MLT)","2020-2020","3","2","8.0","0","74","4","4/31","18.50","9.25","12.0","1","0"
"473","S Kaul (INDIA)","2018-2019","3","3","9.4","0","84","4","2/35","21.00","8.68","14.5","0","0"
"474","VJ Kingma (NL)","2019-2019","3","3","10.4","0","110","4","2/47","27.50","10.31","16.0","0","0"
"475","S Kizilkaya (TKY)","2019-2019","4","4","9.0","0","74","4","2/9","18.50","8.22","13.5","0","0"
"476","Kuldeep Lal (ESP)","2019-2020","10","6","13.0","0","135","4","2/33","33.75","10.38","19.5","0","0"
"477","A Lark (Aut)","2019-2019","5","4","11.0","0","55","4","3/20","13.75","5.00","16.5","0","0"
"478","T Lungameni (NAM)","2019-2019","6","6","16.0","1","88","4","2/16","22.00","5.50","24.0","0","0"
"479","MJ McClenaghan (ICC/NZ)","2016-2018","5","5","14.0","0","118","4","3/17","29.50","8.42","21.0","0","0"
"480","P Malav (LUX)","2020-2020","3","3","8.0","0","63","4","2/10","15.75","7.87","12.0","0","0"
"481","MR Marsh (AUS)","2016-2021","13","5","8.0","0","52","4","2/6","13.00","6.50","12.0","0","0"
