,Player,Span,Mat,Runs,HS,Bat_Av,hundred,Wkts,BBI,Bowl_Av,five,Ct,St,Ave_Diff
547,NMS Param (SGP),2019-2019,8,160,72*,32,0,2,Feb-24,27.5,0,1,0,4.5
548,AR Patel (INDIA),2016-2021,8,51,20*,25.5,0,4,Feb-20,46.75,0,3,0,-21.24
549,MD Patel (USA),2019-2019,8,85,26,12.14,0,-,-,-,-,3,2,-
550,RR Patel (KENYA),2019-2019,8,181,55,36.2,0,3,Feb-19,26,0,6,0,10.2
551,D Paterson (SA),2017-2018,8,5,4*,5,0,9,Apr-32,29.44,0,1,0,-24.44
552,N Pathan (THAI),2019-2020,8,149,54*,21.28,0,3,01-Nov,26.33,0,0,0,-5.04
553,BBJL Perera (ITA),2019-2019,8,208,67,34.66,0,-,-,-,-,6,0,-
554,CAK Rajitha (SL),2016-2019,8,5,5,2.5,0,7,Mar-44,40.57,0,0,0,-38.07
555,Rakibul Hasan (ITA),2019-2019,8,14,5*,4.66,0,8,Feb-20,18.37,0,0,0,-13.7
556,SHA Rance (NZ),2017-2019,8,10,8,3.33,0,10,Mar-26,24.5,0,0,0,-21.16
557,Rizwan Cheema (CAN),2019-2019,8,151,72,21.57,0,-,-,-,-,3,0,-
558,L Ronchi (ICC/NZ),2016-2018,8,29,11,4.83,0,-,-,-,-,2,3,-
559,MJ Ross (ITA),2019-2019,8,56,34,14,0,7,Apr-15,17.14,0,3,0,-3.14
560,Rumman Raees (PAK),2016-2018,8,0,0*,-,0,8,Feb-24,27.5,0,1,0,-
561,Sahir Naqash (GER),2019-2020,8,78,38*,15.6,0,4,02-Mar,16.75,0,1,0,-1.14
562,JRMVB Sanjaya (SL),2017-2017,8,20,6,6.66,0,9,Feb-20,27.77,0,1,0,-21.11
563,Sarfaraz Ali (BHR),2019-2020,8,253,59,31.62,0,4,Feb-20,33.75,0,2,0,-2.12
564,R Satheesan (ROM),2019-2020,8,220,92*,55,0,9,Mar-14,7.88,0,4,0,47.11
565,Shoaib Ali (Saudi),2019-2020,8,15,9,5,0,4,Feb-25,45.75,0,2,0,-40.74
566,TAM Siriwardana (SL),2016-2017,8,72,35,10.28,0,2,Feb-33,29.5,0,2,0,-19.21
567,ACF Stokes (GUE),2019-2020,8,31,16,6.2,0,5,Feb-26,34.2,0,1,0,-27.99
568,JTS Sumerauer (JER),2019-2019,8,34,13,6.8,0,7,02-Oct,22.14,0,2,0,-15.34
569,Tarun Sharma (Mex),2019-2019,8,164,49*,23.42,0,0,-,-,0,0,0,-
570,SR Taylor (USA),2019-2019,8,265,72,37.85,0,3,02-Oct,23.33,0,5,0,14.52
571,RA Thomas (CAN),2019-2019,8,73,18,10.42,0,-,-,-,-,2,0,-
572,Umar Akmal (PAK),2016-2019,8,79,32,15.8,0,-,-,-,-,5,0,-
573,Usman Ali (Saudi),2019-2020,8,17,8,8.5,0,5,01-May,37.6,0,1,0,-29.09
574,Vichanath Singh (THAI),2019-2020,8,7,3*,2.33,0,4,Jan-15,38,0,2,0,-35.66
575,V Vijh (LUX),2019-2020,8,185,64*,30.83,0,6,Feb-24,30.83,0,0,0,0
576,TC Vine (ESP),2019-2020,8,6,6*,-,0,9,Apr-28,16.33,0,0,0,-
577,T Whiteman (LUX),2019-2020,8,98,36,32.66,0,1,Jan-24,38,0,1,0,-5.33
578,AS Wright (GUE),2019-2019,8,72,43,10.28,0,-,-,-,-,1,0,-
579,Abraash Khan (CAN),2019-2019,7,66,22,16.5,0,-,-,-,-,1,0,-
580,VD Adewoye (NGA),2019-2019,7,47,23*,11.75,0,6,Apr-18,22.5,0,1,0,-10.74
581,Aminul Islam (BDESH),2019-2020,7,22,9,22,0,10,Mar-34,17.6,0,1,0,4.4
582,Amjad Javed (UAE),2016-2017,7,60,47*,30,0,13,03-Dec,14.23,0,2,0,15.76
583,SE Aquilina (MLT),2019-2020,7,26,14,5.2,0,-,-,-,-,2,4,-
584,Arshad Hayat (CZK-R),2019-2019,7,2,2,1,0,5,Feb-15,20.6,0,0,0,-19.59
585,Ashiqullah Said (Belg),2019-2020,7,7,4*,3.5,0,11,Mar-15,13.18,0,1,0,-9.68
586,R Ashwin (INDIA),2016-2017,7,16,11*,-,0,5,02-Nov,33.8,0,2,0,-
587,MA Baig (MWI),2019-2019,7,5,5,1.25,0,11,Apr-20,14.54,0,4,0,-13.29
588,Bakhtiar Tahiri (BUL),2020-2020,7,159,66,26.5,0,4,Feb-18,38.5,0,0,0,-11.99
589,J Barker (LUX),2019-2020,7,89,39,14.83,0,-,-,-,-,5,0,-
590,JP Behrendorff (AUS),2017-2019,7,-,-,-,-,7,Apr-21,16.71,0,4,0,-
591,HK Bennett (NZ),2020-2020,7,1,1*,-,0,6,Mar-54,38.5,0,0,0,-
592,Bilal Tahir (KUW),2019-2020,7,80,34*,13.33,0,-,-,-,-,5,0,-
593,J Bulele (Moz),2019-2019,7,65,24,9.28,0,4,Feb-30,26.75,0,1,0,-17.46
594,RW Chakabva (ZIM),2019-2019,7,141,48,23.5,0,-,-,-,-,4,0,-
595,TS Chisoro (ZIM),2018-2020,7,26,14*,8.66,0,2,Feb-28,97.5,0,1,0,-88.83
596,MNR Cooray (Mald),2019-2020,7,170,56*,34,0,8,Mar-26,21.75,0,0,0,12.25
597,KC D'Souza (BUL),2020-2020,7,86,28*,28.66,0,0,-,-,0,4,0,-
598,F Damiao Couana (Moz),2019-2019,7,233,71*,38.83,0,6,03-Oct,19.66,0,2,0,19.16
599,G Dutta (Mex),2019-2019,7,14,8,2.33,0,-,-,-,-,1,0,-
600,M Faheem (THAI),2019-2020,7,3,2,1,0,8,02-Nov,16.62,0,1,0,-15.62
601,Faisal Khan (Saudi),2019-2020,7,206,83*,34.33,0,3,Feb-14,24.33,0,2,0,10
602,GF Gomes (Moz),2019-2019,7,44,28,8.8,0,0,-,-,0,0,0,-
603,Haroon Mughal (MLT),2019-2020,7,105,33,21,0,1,Jan-17,31,0,1,0,-9.99
604,Z Hoque (THAI),2019-2020,7,95,23*,15.83,0,4,Jan-13,30.5,0,2,0,-14.66
605,JJ Huo (Moz),2019-2019,7,58,18,8.28,0,3,Mar-14,18.66,0,1,0,-10.38
606,Ilyas Ahmed (KUW),2019-2020,7,2,1*,2,0,11,Mar-17,16.72,0,1,0,-14.72
607,Imran Ismail (Moz),2019-2019,7,63,17,9,0,-,-,-,-,6,0,-
608,KM Jadhav (INDIA),2016-2017,7,108,58,27,0,-,-,-,-,0,0,-
609,J Jojo (DEN),2019-2019,7,36,13,18,0,2,Feb-25,49,0,1,0,-30.99
610,Kaleem Shah (Moz),2019-2019,7,176,72*,29.33,0,3,Feb-24,43.33,0,1,0,-13.99
611,D Kansonkho (MWI),2019-2019,7,38,21,9.5,0,1,Jan-15,60,0,5,0,-50.49
612,S Kaveri (Mex),2019-2019,7,114,43,22.8,0,6,02-Oct,11.66,0,3,0,11.13
613,Khurram Shahzad (QAT),2020-2020,7,17,10,4.25,0,0,-,-,0,1,0,-
614,A Krishna (SGP),2019-2020,7,5,4,2.5,0,12,Apr-28,16.16,0,0,0,-13.66
615,CBRLS Kumara (SL),2019-2020,7,5,4,5,0,6,Feb-24,33.5,0,0,0,-28.49
616,UKPW Kumaranayaka (KUW),2019-2020,7,-,-,-,-,5,Feb-26,41.6,0,3,0,-
617,I Liyanage (QAT),2020-2020,7,103,37*,17.16,0,-,-,-,-,1,0,-
618,Mamoon Latif (Belg),2019-2020,7,86,25,12.28,0,1,Jan-14,14,0,3,0,-1.71
619,XM Marshall (USA),2019-2019,7,87,31,12.42,0,-,-,-,-,1,0,-
620,ZE Matsinhe (Moz),2019-2019,7,10,6*,3.33,0,7,Mar-27,14.42,0,0,0,-11.09
621,M Mooketsi (Botsw),2019-2019,7,8,3,1.6,0,6,Feb-31,32.83,0,1,0,-31.23
622,M Mosehle (SA),2017-2017,7,105,36,21,0,-,-,-,-,6,2,-
623,K Motlhanka (Botsw),2019-2019,7,115,59,16.42,0,-,-,-,-,3,4,-
624,Mudassar Muhammad (GER),2019-2019,7,112,30,16,0,-,-,-,-,1,0,-
625,Muhammad Naeem (Saudi),2019-2020,7,125,42,31.25,0,0,-,-,0,1,0,-
626,D Muhumuza (UGA),2019-2020,7,114,42,19,0,6,May-13,14.16,1,2,0,4.83
627,Murid Ekrami (Belg),2019-2020,7,45,28,15,0,3,01-Aug,34.33,0,5,0,-19.33
628,TK Musakanda (ZIM),2018-2021,7,116,43,16.57,0,-,-,-,-,2,0,-
629,R Nehonde (Botsw),2019-2019,7,61,26,10.16,0,0,-,-,0,5,0,-
630,OE Newey (GUE),2019-2019,7,55,23*,11,0,-,-,-,-,4,1,-
631,D Nikolov (BUL),2019-2020,7,22,13,7.33,0,3,Feb-27,24.33,0,2,0,-16.99
632,A Otwani (UGA),2019-2020,7,141,44,20.14,0,-,-,-,-,1,0,-
633,TD Paine (AUS/World),2017-2017,7,60,25,12,0,-,-,-,-,7,2,-
634,HH Patel (MWI),2019-2019,7,137,44*,27.4,0,2,Feb-13,52,0,6,0,-24.59
635,RB Patel (BUL),2020-2020,7,3,3*,-,0,5,Feb-20,25.2,0,3,0,-
636,TK Patel (USA),2019-2019,7,17,14*,-,0,11,Apr-27,13.27,0,0,0,-
637,AM Phangiso (SA),2016-2018,7,17,13,8.5,0,7,Feb-26,23.85,0,0,0,-15.35
638,PBB Rajapaksa (SL),2019-2020,7,140,77,28,0,-,-,-,-,0,0,-
639,B Regmi (NEPAL),2018-2019,7,2,1*,2,0,10,Mar-20,17.8,0,3,0,-15.79
640,Rehman Abdul (ITA),2019-2019,7,102,37*,51,0,-,-,-,-,6,0,-
641,Saber Zakhil (Belg),2019-2020,7,160,44,26.66,0,6,Mar-20,27.33,0,7,0,-0.66
642,Sajid Cheema (Saudi),2019-2020,7,142,47,20.28,0,-,-,-,-,3,0,-
643,S Samarawickrama (SL),2017-2019,7,97,32,13.85,0,-,-,-,-,4,2,-
644,Sami Sohail (MWI),2019-2019,7,115,33*,115,0,14,Apr-18,11.71,0,5,0,103.28
645,DJG Sammy (WI/World),2016-2017,7,61,29*,20.33,0,1,Jan-17,79,0,3,0,-58.66
646,Shaheryar Butt (Belg),2019-2020,7,294,125*,73.5,1,-,-,-,-,2,0,-
647,JNK Shannon (IRE),2016-2018,7,109,60,15.57,0,0,-,-,0,0,0,-
648,Sharjeel Khan (PAK),2016-2016,7,188,59,26.85,0,-,-,-,-,1,0,-
649,Simandeep Singh (HKG),2019-2019,7,33,14*,6.6,0,-,-,-,-,4,0,-
650,Sohail Tanvir (PAK),2016-2017,7,6,4,6,0,7,Mar-13,26.57,0,0,0,-20.57
651,H Ssenyondo (UGA),2019-2020,7,0,0*,-,0,3,Mar-14,40.66,0,0,0,-
652,DW Steyn (SA),2016-2020,7,6,5*,6,0,7,Feb-31,33.42,0,1,0,-27.42
653,P Taylor (CZK-R),2019-2019,7,11,7*,11,0,8,Apr-28,18,0,1,0,-6.99
654,J Umanath (Mex),2019-2019,7,69,25,11.5,0,-,-,-,-,0,0,-
655,PJ van Biljon (SA),2020-2021,7,89,42,22.25,0,-,-,-,-,1,0,-
656,S Vesawkar (NEPAL),2018-2019,7,111,40,37,0,0,-,-,0,3,0,-
657,C Waiswa (UGA),2019-2020,7,20,14*,20,0,11,Apr-38,19.18,0,4,0,0.81
658,MN Waller (ZIM),2016-2018,7,100,30,25,0,0,-,-,0,1,0,-
659,C Zavoiu (ROM),2019-2020,7,59,27,11.8,0,4,03-Apr,4.5,0,1,0,7.3
660,S Adedeji (NGA),2019-2019,6,89,51*,22.25,0,0,-,-,0,3,0,-
661,Adnan Idrees (KUW),2019-2019,6,259,80,43.16,0,1,Jan-34,67,0,4,0,-23.83
662,Aftab Alam (AFG),2016-2018,6,1,1,0.5,0,4,Feb-30,39.5,0,3,0,-38.99
663,A Ahmadhel (BUL),2019-2020,6,26,15,8.66,0,6,Feb-16,20.66,0,0,0,-11.99
664,Ahsan Abbasi (HKG),2019-2019,6,80,18,13.33,0,-,-,-,-,0,0,-
665,D Ajekun (NGA),2019-2019,6,55,17,9.16,0,4,01-May,19,0,0,0,-9.83
666,Anique Uddin (DEN),2019-2019,6,64,31,10.66,0,2,02-Dec,7,0,2,0,3.66
667,Z Arinaitwe (UGA),2019-2020,6,50,15,8.33,0,-,-,-,-,0,0,-
668,A Ashokan (CZK-R),2019-2020,6,92,34,15.33,0,2,01-Dec,56.5,0,3,0,-41.16
669,B Banerjee (Mex),2019-2019,6,8,6*,4,0,-,-,-,-,4,0,-
670,DE Budge (SCOT),2018-2018,6,60,24,30,0,-,-,-,-,4,0,-
671,M Cope (LUX),2019-2020,6,23,13,11.5,0,10,Mar-16,17.5,0,1,0,-5.99
672,FA Cossa (Moz),2019-2019,6,82,19*,20.5,0,2,Jan-24,55,0,6,0,-34.49
673,S Davizi (CZK-R),2019-2020,6,237,101,39.5,1,7,Apr-15,6.14,0,2,0,33.35
674,Dawlat Zadran (AFG),2016-2019,6,9,9,4.5,0,6,Apr-44,36.66,0,0,0,-32.16
675,LA Dawson (ENG),2016-2018,6,17,10,17,0,5,Mar-27,30.4,0,2,0,-13.39
676,IA De Silva (BUL),2020-2020,6,101,42,20.2,0,-,-,-,-,0,0,-
677,BOP Fernando (SL),2019-2020,6,109,78*,27.25,0,-,-,-,-,0,0,-
678,BC Fortuin (SA),2019-2021,6,27,17*,13.5,0,5,Feb-19,27,0,1,0,-13.49
679,V Ganesan (GER),2019-2020,6,36,15,7.2,0,2,01-Oct,40,0,2,0,-32.79
680,D Gim (NGA),2019-2019,6,17,9*,8.5,0,2,Jan-18,32.5,0,3,0,-23.99
681,Jandu Hamoud (KUW),2019-2019,6,2,2,2,0,4,Feb-25,28,0,2,0,-25.99
682,S Hirugade (Mex),2019-2019,6,74,35,12.33,0,6,Apr-16,15.33,0,2,0,-2.99
683,AF Ifill (Caym),2019-2019,6,37,9,7.4,0,4,01-Jul,37.75,0,1,0,-30.34
684,Imrul Kayes (BDESH),2017-2017,6,52,36,10.4,0,-,-,-,-,3,0,-
685,S Jamil (Belg),2019-2020,6,53,24,8.83,0,-,-,-,-,5,0,-
686,S Jora (NEPAL),2019-2019,6,101,53*,20.2,0,-,-,-,-,3,0,-
687,G Kansonkho (MWI),2019-2019,6,26,22,13,0,0,-,-,0,4,0,-
688,P Kerai (KENYA),2019-2019,6,0,0,0,0,3,Mar-15,27.33,0,0,0,-27.33
689,Khalid Latif (PAK),2016-2016,6,203,59*,50.75,0,-,-,-,-,3,0,-
690,UT Khawaja (AUS),2016-2016,6,185,58,30.83,0,-,-,-,-,3,0,-
691,JS Kundi (KENYA),2019-2019,6,9,6,2.25,0,0,-,-,0,2,0,-
692,Kushal Malla (NEPAL),2019-2020,6,62,36*,15.5,0,1,Jan-16,58,0,1,0,-42.49
693,RAS Lakmal (SL),2016-2019,6,6,5*,2,0,3,Jan-18,56.33,0,1,0,-54.33
694,H Lakov (BUL),2019-2020,6,85,28,17,0,2,Jan-23,75.5,0,1,0,-58.49
695,AV Lalcheta (OMAN),2017-2019,6,63,20,12.6,0,1,Jan-28,100,0,2,0,-87.39
696,NCK Liyanage (MAL),2019-2019,6,8,8,4,0,3,Jan-19,33.33,0,1,0,-29.33
697,T Lungameni (NAM),2019-2019,6,2,2*,-,0,4,Feb-16,22,0,1,0,-
698,W Madhevere (ZIM),2020-2021,6,109,70*,21.8,0,1,Jan-15,57,0,2,0,-35.19
699,S Mahmood (ENG),2019-2020,6,7,4,7,0,3,Jan-20,63.33,0,1,0,-56.33
700,D Maisuria (Botsw),2019-2019,6,6,6*,6,0,11,Apr-28,11,0,1,0,-4.99
701,JS Malhotra (USA),2019-2019,6,112,38,18.66,0,-,-,-,-,2,3,-
702,G Manan (ROM),2019-2020,6,98,29,19.6,0,-,-,-,-,2,0,-
703,P Manning (Caym),2019-2019,6,56,28,11.2,0,2,02-Mar,26.5,0,1,0,-15.29
704,WP Masakadza (ZIM),2018-2020,6,14,11,7,0,5,Jan-14,26.8,0,4,0,-19.79
705,BMAJ Mendis (SL),2018-2018,6,10,6*,5,0,6,Feb-21,22.16,0,3,0,-17.16
706,AF Milne (NZ),2016-2018,6,2,2*,-,0,6,Feb-25,26.33,0,1,0,-
707,Mohammad Ahsan (KUW),2019-2019,6,19,8,6.33,0,4,Feb-31,48,0,0,0,-41.66
708,Mohammad Mithun (BDESH),2016-2020,6,72,27,14.4,0,-,-,-,-,1,0,-
709,Mohammad Naim (BDESH),2019-2020,6,219,81,36.5,0,-,-,-,-,4,0,-
710,Mohammed Nurji (MWI),2019-2019,6,101,36,50.5,0,-,-,-,-,2,0,-
711,A Morris (Caym),2019-2019,6,5,3*,2.5,0,6,Feb-17,19,0,0,0,-16.49
712,RG Mukasa (UGA),2019-2020,6,63,24,10.5,0,0,-,-,0,2,0,-
713,SJ Myburgh (NL),2017-2019,6,105,34,17.5,0,-,-,-,-,1,0,-
714,Naveen-ul-Haq (AFG),2019-2021,6,7,5,7,0,10,Mar-21,15,0,0,0,-7.99
715,PM Nevill (AUS),2016-2016,6,21,10*,-,0,-,-,-,-,1,1,-
716,F Nsubuga (UGA),2019-2020,6,19,9,6.33,0,4,Feb-19,29.75,0,3,0,-23.41
717,AA Obanda (KENYA),2019-2019,6,56,27,9.33,0,-,-,-,-,1,0,-
718,T Perera (Botsw),2019-2019,6,101,30,16.83,0,0,-,-,0,2,0,-
719,S Periyalwar (ROM),2019-2020,6,154,105*,51.33,1,0,-,-,0,2,0,-
720,R Pillai (GER),2019-2019,6,28,14,7,0,-,-,-,-,1,0,-
721,S Rakshit (CZK-R),2019-2019,6,40,21,10,0,2,01-Nov,49.5,0,2,0,-39.49
722,JB Reva (PNG),2017-2019,6,7,6,3.5,0,4,Feb-18,24,0,1,0,-20.49
723,WJR Robertson (JER),2019-2019,6,1,1*,-,0,3,01-Jul,33.66,0,0,0,-
724,SI Runsewe (NGA),2019-2019,6,74,27,14.8,0,2,01-Apr,11.5,0,0,0,3.3
725,SE Rutherford (WI),2018-2020,6,43,26,10.75,0,1,Jan-21,49,0,1,0,-38.24
726,SV Samson (INDIA),2020-2020,6,64,23,10.66,0,-,-,-,-,2,1,-
727,Saqib Zulfiqar (NL),2018-2019,6,34,18,8.5,0,2,01-Apr,30.5,0,2,0,-21.99
728,YSD Seneveratne (Caym),2019-2019,6,48,19,8,0,0,-,-,0,0,0,-
729,L Shafeeg (Mald),2019-2020,6,19,19*,9.5,0,6,Mar-33,23.5,0,0,0,-13.99
730,Shamsudheen Purat (Saudi),2019-2020,6,118,88*,29.5,0,-,-,-,-,1,0,-
731,DC Stovell (BMUDA),2019-2019,6,42,18*,8.4,0,4,Feb-21,31.5,0,2,0,-23.09
732,GM Strydom (Caym),2019-2019,6,97,49,16.16,0,-,-,-,-,2,0,-
733,Sulaiman Ali (BUL),2020-2020,6,85,33,14.16,0,5,02-Aug,22.6,0,1,0,-8.43
734,Taskin Ahmed (BDESH),2017-2018,6,12,8*,6,0,3,Jan-28,66.66,0,0,0,-60.66
735,Tauqeer Hussain (ESP),2019-2020,6,6,3*,6,0,6,02-Dec,14.33,0,3,0,-8.33
736,T Taylor (Caym),2019-2019,6,71,19*,17.75,0,2,Jan-17,37,0,1,0,-19.24
737,VE Tembo (Moz),2019-2019,6,45,20*,15,0,-,-,-,-,0,0,-
738,BM Tickner (NZ),2019-2020,6,5,5*,-,0,5,Feb-25,42.4,0,1,0,-
739,Usama Master (MWI),2019-2019,6,15,15,7.5,0,5,Feb-24,21.2,0,1,0,-13.69
740,Usman Qadir (PAK),2020-2021,6,4,4*,-,0,12,Apr-13,11.33,0,1,0,-
741,Usman Waheed (KUW),2019-2019,6,64,28*,21.33,0,-,-,-,-,1,0,-
742,JDF Vandersay (SL),2016-2019,6,3,3,3,0,5,Feb-26,29.4,0,0,0,-26.39
743,S Vashisht (ROM),2019-2020,6,13,9*,13,0,6,03-Nov,14.33,0,4,0,-1.33
744,D Weston (GER),2019-2019,6,47,18,7.83,0,-,-,-,-,9,2,-
745,BM Wheeler (NZ),2017-2018,6,37,30,18.5,0,7,Feb-16,30.85,0,1,0,-12.35
746,C Wright (Caym),2019-2019,6,26,16*,8.66,0,2,Feb-34,26.5,0,2,0,-17.83
747,UT Yadav (INDIA),2018-2019,6,2,2,2,0,8,Feb-19,24.37,0,3,0,-22.37
748,HN Ya France (NAM),2019-2019,6,18,13,6,0,2,01-Mar,41,0,1,0,-34.99
749,Yuvraj Singh (INDIA),2016-2017,6,91,27,15.16,0,1,Jan-19,19,0,0,0,-3.83
750,Zishan Shah (DEN),2019-2019,6,88,50,22,0,-,-,-,-,2,0,-
751,M Abdulla (MWI),2019-2019,5,112,42*,37.33,0,6,Mar-25,12.66,0,1,0,24.66
752,Abdullah Akbarjan (Aut),2019-2019,5,29,29,29,0,6,Mar-20,12,0,2,0,17
753,AS Abioye (NGA),2019-2019,5,0,0*,-,0,3,Feb-26,29,0,2,0,-
754,AG Achar (SGP),2019-2020,5,2,2*,-,0,5,Feb-21,15.2,0,1,0,-
755,SA Ahmad (DEN),2019-2019,5,46,25,23,0,4,03-Sep,10,0,1,0,13
756,TP Allen (USA),2019-2019,5,27,11*,13.5,0,1,01-Nov,28,0,3,0,-14.49
757,Amjad Sher (Fin),2019-2019,5,56,24,11.2,0,5,Feb-22,17.6,0,2,0,-6.39
758,Aphsal Ashraf (KUW),2020-2020,5,53,45*,26.5,0,2,Feb-35,20.5,0,2,0,6
759,Aqib Iqbal (Aut),2019-2019,5,6,6,6,0,0,-,-,0,1,0,-
760,V Aravind (UAE),2020-2020,5,19,18,9.5,0,-,-,-,-,3,0,-
761,P Arrighi (Arg),2019-2019,5,16,11,4,0,10,05-Apr,8.4,1,3,0,-4.39
762,U Aryaman Sunil (SGP),2019-2020,5,37,16,9.25,0,4,Feb-33,21.75,0,1,0,-12.49
763,P Baron (Arg),2019-2019,5,43,27,14.33,0,-,-,-,-,1,0,-
764,SJ Benn (WI),2016-2016,5,-,-,-,-,1,Jan-18,127,0,3,0,-
765,P Bhart (NOR),2019-2019,5,3,2*,3,0,3,Feb-29,22.66,0,0,0,-19.66
766,Bilal Zalmai (Aut),2019-2019,5,208,111*,69.33,1,9,04-Dec,7.33,0,3,0,62
767,DL Brangman (BMUDA),2019-2019,5,23,23*,11.5,0,1,Jan-19,84,0,0,0,-72.49
768,G Chaturvedi (MLT),2019-2020,5,101,32,25.25,0,-,-,-,-,2,0,-
769,NG Collins (Fin),2019-2019,5,151,56,30.2,0,-,-,-,-,0,0,-
770,AG Cremer (ZIM),2016-2018,5,11,4,3.66,0,3,Feb-20,43,0,0,0,-39.33
771,H Dandapani (Fin),2019-2019,5,8,5,8,0,5,02-Jun,18,0,1,0,-9.99
772,TM Dilshan (SL),2016-2016,5,55,36,11,0,2,02-Aug,4,0,0,0,7
773,M Dixit (LUX),2019-2020,5,56,38,18.66,0,2,Jan-15,59.5,0,1,0,-40.83
774,KR Ebanks (Caym),2019-2019,5,15,8,3.75,0,1,Jan-25,104,0,0,0,-100.24
775,GD Elliott (NZ/World),2016-2017,5,55,27,18.33,0,3,03-Dec,27.66,0,1,0,-9.33
776,L Emilio (Moz),2019-2019,5,44,23,11,0,-,-,-,-,2,0,-
777,R Escobar (Arg),2019-2019,5,68,28*,22.66,0,-,-,-,-,7,3,-
778,H Fennell (Arg),2019-2019,5,27,25*,9,0,8,04-Dec,7.12,0,0,0,1.87
779,A Ferguson (Arg),2019-2019,5,88,51,44,0,-,-,-,-,2,0,-
780,R Gaznavi (SGP),2019-2020,5,12,8,4,0,-,-,-,-,2,0,-
781,JOA Gordon (CAN),2019-2019,5,1,1*,-,0,6,Mar-14,20.33,0,1,0,-
782,C Hauptfleisch (Caym),2019-2019,5,69,42,13.8,0,-,-,-,-,1,1,-
783,L Hermida (Mex),2019-2019,5,35,12,11.66,0,8,Mar-20,11.75,0,2,0,-0.08
784,A Husain (Arg),2019-2019,5,2,2*,-,0,1,01-Jun,51,0,1,0,-
785,Ibrarul Haq (Saudi),2019-2019,5,69,49,17.25,0,7,Mar-28,16.57,0,3,0,0.67
786,Ijaz Hussain (ROM),2019-2020,5,80,40,26.66,0,5,Feb-19,22.8,0,0,0,3.86
787,Jaspreet Singh (ITA),2019-2019,5,19,11,9.5,0,1,Jan-26,53,0,1,0,-43.49
788,K Joshi (Aut),2019-2019,5,41,32*,20.5,0,-,-,-,-,0,0,-
789,Junaid Sheikh (NOR),2019-2019,5,19,9,6.33,0,2,Jan-21,52,0,5,0,-45.66
790,Junaid Siddiqui (CAN),2019-2019,5,2,2*,-,0,2,01-Oct,43,0,0,0,-
791,Khizer Ahmed (NOR),2019-2019,5,32,18,16,0,-,-,-,-,0,1,-
792,NR Kirton (CAN),2019-2019,5,75,37*,25,0,-,-,-,-,1,0,-
793,AK Kitchen (NZ),2017-2018,5,38,16,12.66,0,2,01-Mar,23,0,3,0,-10.33
794,A Lark (Aut),2019-2019,5,110,43,27.5,0,4,Mar-20,13.75,0,3,0,13.75
795,MJ McClenaghan (ICC/NZ),2016-2018,5,17,10,8.5,0,4,Mar-17,29.5,0,0,0,-20.99
796,OC McCoy (WI),2019-2021,5,34,23,17,0,5,Feb-25,26.4,0,0,0,-9.39
797,JN Malan (SA),2019-2021,5,110,44,22,0,-,-,-,-,2,0,-
798,Md Nurul Huda (Fin),2019-2019,5,50,30*,25,0,9,03-Nov,13.11,0,4,0,11.88
799,CAJ Meschede (GER),2019-2019,5,179,67,44.75,0,6,02-Nov,19.16,0,1,0,25.58
800,TS Mills (ENG/ICC),2016-2018,5,0,0,0,0,3,Jan-27,43,0,1,0,-42.99
801,Mohammad Adnan (Saudi),2019-2019,5,60,38*,-,0,2,Jan-27,60,0,0,0,-
802,Mohammad Ghazanfar (HKG),2019-2019,5,10,6*,10,0,3,02-Nov,28.33,0,2,0,-18.33
803,Mohammad Shahzad (UAE),2016-2017,5,29,13,5.8,0,5,Mar-34,28,0,0,0,-22.19
804,AK Mohan (Fin),2019-2019,5,82,41,16.4,0,-,-,-,-,5,2,-
805,M Morkel (SA/World),2017-2017,5,6,5*,6,0,2,Jan-32,84.5,0,0,0,-78.49
806,Muaviath Ganee (Mald),2019-2019,5,42,19,10.5,0,-,-,-,-,0,0,-
807,Muhammad Khurram (MWI),2019-2019,5,4,3,1.33,0,-,-,-,-,1,0,-
808,Muhammad Nadeem (Saudi),2019-2019,5,48,43,16,0,5,Mar-16,9.8,0,2,0,6.2
809,T Munyonga (ZIM),2019-2019,5,45,44,45,0,0,-,-,0,3,0,-
810,LA Musiani (Arg),2019-2019,5,40,22,10,0,2,Jan-16,34.5,0,2,0,-24.49
811,A Nanda (LUX),2019-2020,5,7,5,3.5,0,10,05-Jun,9,1,0,0,-5.49
812,A Nathwani (Aut),2019-2019,5,1,1*,-,0,3,01-Sep,26.33,0,1,0,-
813,A Neill (SCOT),2019-2019,5,-,-,-,-,9,Mar-21,17.11,0,4,0,-
814,HM Nicholls (NZ),2016-2019,5,19,7,4.75,0,-,-,-,-,0,0,-
815,A Nortje (SA),2019-2020,5,2,2,2,0,3,Jan-24,51.66,0,0,0,-49.66
816,VS Padhaal (Fin),2019-2019,5,31,14,6.2,0,-,-,-,-,0,0,-
817,WD Parnell (SA),2017-2017,5,10,4*,10,0,3,Jan-16,49,0,1,0,-38.99
818,SS Pathirana (SL),2016-2017,5,27,14,5.4,0,5,Feb-23,23.8,0,0,0,-18.39
819,C Pengkumta (THAI),2019-2020,5,29,18,14.5,0,0,-,-,0,1,0,-
820,JR Philippe (AUS),2021-2021,5,105,45,21,0,-,-,-,-,0,0,-
821,A Pusthay (Fin),2019-2019,5,72,37,14.4,0,2,Feb-26,45,0,2,0,-30.59
