,Player,Span,Mat,Runs,HS,Bat_Av,hundred,Wkts,BBI,Bowl_Av,five,Ct,St,Ave_Diff
352,JJ Smit (NAM),2019-2019,12,206,59,25.75,0,16,Mar-19,14.62,0,10,0,11.12
353,C Tommy (VAN),2019-2019,12,180,47,16.36,0,-,-,-,-,4,0,-
354,RJ Trott (BMUDA),2019-2019,12,36,19,9,0,8,Feb-15,29.37,0,0,0,-20.37
355,C Viljoen (NAM),2019-2019,12,68,33,17,0,20,05-Sep,11.8,1,5,0,5.2
356,CN Ackermann (NL),2019-2019,11,243,43*,30.37,0,5,01-Jun,29.4,0,4,0,0.97
357,Ahmed Hassan (Mald),2019-2019,11,189,53,18.9,0,2,01-Aug,40.5,0,1,0,-21.59
358,HM Amla (SA/World),2016-2018,11,389,85,43.22,0,-,-,-,-,4,0,-
359,Anwar Rahman (MAL),2019-2020,11,5,3*,1.66,0,13,Apr-16,11.61,0,2,0,-9.94
360,JC Archer (ENG),2019-2021,11,-,-,-,-,11,Mar-23,28,0,4,0,-
361,MNM Aslam (KUW),2019-2020,11,134,32,26.8,0,15,04-May,14.2,0,5,0,12.6
362,Awais Ahmed (ESP),2019-2020,11,165,102*,41.25,1,-,-,-,-,5,1,-
363,O Bascome (BMUDA),2019-2019,11,147,37,13.36,0,-,-,-,-,4,1,-
364,OGL Bascome (BMUDA),2019-2019,11,107,22,10.7,0,8,04-Oct,14.62,0,3,0,-3.92
365,PVD Chameera (SL),2016-2021,11,17,12,4.25,0,10,Feb-22,34.4,0,1,0,-30.14
366,K Christie (HKG),2019-2019,11,15,11*,7.5,0,10,Feb-23,29.2,0,4,0,-21.69
367,DP Conway (NZ),2020-2021,11,366,99*,52.28,0,-,-,-,-,5,0,-
368,DAP Darrell (BMUDA),2019-2019,11,80,30*,8.88,0,0,-,-,0,4,0,-
369,AB de Villiers (SA),2016-2017,11,414,65*,46,0,-,-,-,-,6,0,-
370,N Dutta (CAN),2019-2019,11,15,12,15,0,11,02-Dec,23,0,3,0,-7.99
371,LH Ferguson (NZ),2017-2020,11,1,1,1,0,21,May-21,13.23,1,4,0,-12.23
372,H Gori (CZK-R),2019-2020,11,337,66,30.63,0,11,Mar-13,19.81,0,3,0,10.81
373,DAS Gunaratne (SL),2017-2017,11,221,84*,27.62,0,5,01-Nov,36.4,0,5,0,-8.77
374,Hamza Tahir (SCOT),2018-2019,11,-,-,-,-,18,Apr-30,19.55,0,4,0,-
375,Hassan Rasheed (Mald),2019-2020,11,142,34,14.2,0,-,-,-,-,0,0,-
376,D Heyliger (CAN),2019-2019,11,58,23*,29,0,19,Apr-16,16.1,0,2,0,12.89
377,Imran Haider (UAE),2016-2019,11,4,4*,-,0,7,Jan-16,35.71,0,1,0,-
378,Inam-ul-Haq (QAT),2019-2019,11,225,73*,25,0,8,Feb-23,26.37,0,3,0,-1.37
379,BA King (WI),2019-2020,11,153,43,15.3,0,-,-,-,-,4,0,-
380,EB Knowles (CZK-R),2019-2020,11,76,17,10.85,0,-,-,-,-,6,0,-
381,K Mendon (CZK-R),2019-2020,11,85,40*,42.5,0,9,Mar-19,21.44,0,1,0,21.05
382,Mohamed Mahfooz (Mald),2019-2019,11,42,16,8.4,0,8,Feb-20,32.75,0,0,0,-24.34
383,C Munoz-Mills (ESP),2019-2020,11,76,29*,19,0,-,-,-,-,6,0,-
384,Nasrulla Rana (HKG),2019-2020,11,15,7,3.75,0,8,Mar-25,27.87,0,0,0,-24.12
385,Nazril Rahman (MAL),2019-2020,11,45,24*,11.25,0,4,Feb-28,46.5,0,4,0,-35.24
386,R Panchal (ESP),2019-2020,11,206,71*,41.2,0,8,Mar-22,23.25,0,6,0,17.95
387,RK Paudel (NEPAL),2019-2019,11,80,19,10,0,-,-,-,-,4,0,-
388,Rahmanullah Gurbaz (AFG),2019-2021,11,419,87,38.09,0,-,-,-,-,4,1,-
389,DMW Rawlins (BMUDA),2019-2019,11,261,63,23.72,0,5,Feb-22,57,0,9,0,-33.27
