No.,Player,Team,Mat,Inns,NO,Runs,HS,Bat_Ave,BF,SR,hundreds,fifties,duck,fours,sixes
121,V Shankar,(Sunrisers Hyderabad),7,5,1,97,52*,24.25,96,101.04,0,1,1,10,1
122,I Sharma,(Delhi Capitals),1,-,-,-,-,-,-,-,-,-,-,-,-
123,KV Sharma,(Chennai Super Kings),5,-,-,-,-,-,-,-,-,-,-,-,-
124,MM Sharma,(Delhi Capitals),1,-,-,-,-,-,-,-,-,-,-,-,-
125,RG Sharma,(Mumbai Indians),12,12,0,332,80,27.66,260,127.69,0,3,1,27,19
126,PP Shaw,(Delhi Capitals),13,13,0,228,66,17.53,167,136.52,0,2,3,27,8
127,Shivam Mavi,(Kolkata Knight Riders),8,3,1,10,9,5,14,71.42,0,0,1,1,0
128,Shubman Gill,(Kolkata Knight Riders),14,14,1,440,70*,33.84,373,117.96,0,3,0,44,9
129,RK Singh,(Kolkata Knight Riders),1,1,0,11,11,11,11,100,0,0,0,1,0
130,SPD Smith,(Rajasthan Royals),14,14,2,311,69,25.91,237,131.22,0,3,0,32,9
131,DW Steyn,(Royal Challengers Bangalore),3,1,1,1,1*,-,2,50,0,0,0,0,0
132,MP Stoinis,(Delhi Capitals),17,17,3,352,65,25.14,237,148.52,0,3,1,31,16
133,BA Stokes,(Rajasthan Royals),8,8,1,285,107*,40.71,200,142.5,1,1,0,36,7
134,R Tewatia,(Rajasthan Royals),14,11,5,255,53,42.5,183,139.34,0,1,0,13,17
135,SN Thakur,(Chennai Super Kings),9,2,1,12,11,12,21,57.14,0,0,0,0,0
136,SS Tiwary,(Mumbai Indians),7,5,0,103,42,20.6,80,128.75,0,0,0,8,3
137,RA Tripathi,(Kolkata Knight Riders),11,11,1,230,81,23,181,127.07,0,1,0,21,10
138,AJ Tye,(Rajasthan Royals),1,1,0,6,6,6,6,100,0,0,0,0,1
139,I Udana,(Royal Challengers Bangalore),10,4,1,15,10*,5,11,136.36,0,0,1,1,1
140,JD Unadkat,(Rajasthan Royals),7,1,0,9,9,9,13,69.23,0,0,0,0,0
141,RV Uthappa,(Rajasthan Royals),12,12,0,196,41,16.33,164,119.51,0,0,0,19,7
142,CV Varun,(Kolkata Knight Riders),13,3,1,10,7*,5,15,66.66,0,0,0,0,0
143,M Vijay,(Chennai Super Kings),3,3,0,32,21,10.66,43,74.41,0,0,0,4,0
144,DA Warner,(Sunrisers Hyderabad),16,16,2,548,85*,39.14,407,134.64,0,4,0,52,14
145,Washington Sundar,(Royal Challengers Bangalore),15,9,3,111,30,18.5,95,116.84,0,0,0,10,2
146,SR Watson,(Chennai Super Kings),11,11,1,299,83*,29.9,247,121.05,0,2,0,33,13
147,KS Williamson,(Sunrisers Hyderabad),12,11,4,317,67,45.28,237,133.75,0,3,0,26,10
148,J Yadav,(Mumbai Indians),2,-,-,-,-,-,-,-,-,-,-,-,-
149,SA Yadav,(Mumbai Indians),16,15,3,480,79*,40,331,145.01,0,4,2,61,11
150,UT Yadav,(Royal Challengers Bangalore),2,1,0,0,0,0,2,0,0,0,1,0,0
151,A Zampa,(Royal Challengers Bangalore),3,-,-,-,-,-,-,-,-,-,-,-,-
