team_name,Player_name,NATIONALITY,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season,NO in HS,dream_11_points,ball_for_4,ball_for_6,consistency
SRH,SKaul,IND,25.0,6.0,,3.0,,,15.0,21.42,0.0,0.0,2.0,0.0,0.0,New_season,1.0,-19.0,0.0,0.0,-3.1666666666666665
SRH,MRMarsh,INT,1.0,1.0,,0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,New_season,0.0,-8.0,0.0,0.0,-8.0
SRH,VRVSingh,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
SRH,JagadeeshaSuchith,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
SRH,PriyamGarg,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
SRH,JasonHolder,INT,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
SRH,KhaleelAhmed,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
SRH,JonnyBairstow,INT,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
SRH,AbdulSamad,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
SRH,JagadeeshaSuchith,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
SRH,JasonHolder,INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
SRH,JonnyBairstow,INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
SRH,KhaleelAhmed,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
SRH,PriyamGarg,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
SRH,TNatarajan,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RR,JCButtler,INT,34.0,33.0,,1187.0,,,785.0,451.43,0.0,10.0,0.0,117.0,51.0,New_season,1.0,1496.0,6.7094017094017095,15.392156862745098,45.333333333333336
RR,BAStokes,INT,12.0,11.0,1.0,316.0,103.0,31.6,221.0,142.98,1.0,1.0,0.0,22.0,15.0,older_season,1.0,394.0,10.045454545454545,14.733333333333333,35.81818181818182
RR,SVSamson,IND,41.0,41.0,,1158.0,,,786.0,445.39,1.0,6.0,4.0,79.0,58.0,New_season,2.0,1417.0,9.949367088607595,13.551724137931034,34.5609756097561
RR,DAMiller,INT,66.0,64.0,20.0,1563.0,351.0,213.17999999999998,1105.0,805.24,1.0,8.0,1.0,104.0,78.0,older_season,4.0,1911.0,10.625,14.166666666666666,29.859375
RR,MVohra,IND,45.0,41.0,2.0,957.0,295.0,120.77000000000001,721.0,644.8000000000001,0.0,3.0,2.0,95.0,35.0,older_season,1.0,1148.0,7.589473684210526,20.6,28.0
RR,SVSamson,IND,66.0,62.0,6.0,1426.0,375.0,126.24000000000001,1146.0,618.79,1.0,7.0,4.0,112.0,57.0,older_season,0.0,1718.0,10.232142857142858,20.105263157894736,27.70967741935484
RR,JCButtler,INT,24.0,24.0,3.0,527.0,118.0,50.379999999999995,361.0,292.25,0.0,1.0,1.0,50.0,26.0,older_season,0.0,641.0,7.22,13.884615384615385,26.708333333333332
RR,BAStokes,INT,30.0,30.0,,604.0,,,460.0,388.47,1.0,1.0,2.0,57.0,17.0,New_season,0.0,717.0,8.070175438596491,27.058823529411764,23.9
RR,DAMiller,INT,14.0,14.0,,287.0,,,228.0,245.49,0.0,1.0,1.0,22.0,9.0,New_season,1.0,327.0,10.363636363636363,25.333333333333332,23.357142857142858
RR,AJTye,INT,6.0,3.0,1.0,53.0,25.0,26.5,30.0,176.66,0.0,0.0,0.0,4.0,3.0,older_season,0.0,69.0,7.5,10.0,23.0
RR,RParag,IND,19.0,13.0,,246.0,,,203.0,238.66000000000003,0.0,1.0,2.0,23.0,8.0,New_season,0.0,289.0,8.826086956521738,25.375,22.23076923076923
RR,LSLivingstone,INT,4.0,4.0,,70.0,,,48.0,145.83,0.0,0.0,0.0,6.0,5.0,New_season,0.0,82.0,8.0,9.6,20.5
RR,RTewatia,IND,27.0,20.0,,331.0,,,248.0,373.78999999999996,0.0,1.0,0.0,20.0,19.0,New_season,1.0,399.0,12.4,13.052631578947368,19.95
