Player_name,NATIONALITY,team_name,international_matches,ipl_matches_older,ipl_matches_New,international_Inns,ipl_Inns_older,ipl_Inns_New,international_Runs,ipl_Runs_older,ipl_Runs_New,international_HS,ipl_HS_older,ipl_HS_New,international_Ave,ipl_Ave_older,ipl_Ave_New,international_BF,ipl_BF_older,ipl_BF_New,international_SR,ipl_SR_older,ipl_SR_New,international_Century,ipl_Century_older,ipl_Century_New,international_fifty,ipl_fifty_older,ipl_fifty_New,international_ducks,ipl_ducks_older,ipl_ducks_New,international_fours,ipl_fours_older,ipl_fours_New,international_sixes,ipl_sixes_older,ipl_sixes_New,international_dream_11_points,ipl_dream_11_points_older,ipl_dream_11_points_New,international_consistency,ipl_consistency_older,ipl_consistency_New,dream_11_points_final_points
MJSantner,INT,CSK,46.0,0.0,6.0,33.0,0.0,2.0,306.0,0.0,32.0,37,0.0,0.0,16.1,0.0,0.0,227,0.0,23.0,134.8,0.0,139.13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,11.0,0.0,3.0,346.0,0.0,34.0,10.48,0.0,17.0,15.05
YBKJaiswal,IND,RR,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,40.0,0,0.0,0.0,0,0.0,0.0,0,0.0,44.0,0.0,0.0,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,44.0,0.0,0.0,14.67,14.67
DJHooda,IND,KXIP,0.0,41.0,27.0,0.0,30.0,20.0,0.0,373.0,252.0,0,107.0,0.0,0,53.05,0.0,0,268.0,215.0,0.0,427.94,351.23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,20.0,12.0,0.0,20.0,9.0,0.0,447.0,288.0,0.0,14.9,14.4,14.55
JDSNeesham,INT,MI,16.0,4.0,5.0,12.0,3.0,3.0,222.0,42.0,19.0,48*,22.0,0.0,27.75,14.0,0.0,130,46.0,18.0,170.76,91.3,105.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,3.0,0.0,16.0,1.0,1.0,274.0,47.0,21.0,22.83,15.67,7.0,13.57
AbhishekSharma,IND,SRH,0.0,0.0,14.0,0.0,0.0,13.0,0.0,0.0,143.0,0,0.0,0.0,0,0.0,0.0,0,0.0,98.0,0.0,0.0,417.67999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,175.0,0.0,0.0,13.46,13.46
ARPatel,IND,DC,8.0,59.0,38.0,5.0,43.0,29.0,51.0,606.0,307.0,20*,162.0,0.0,25.5,77.42999999999999,0.0,27,473.0,242.0,188.88,505.98999999999995,378.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,34.0,19.0,3.0,28.0,15.0,66.0,692.0,356.0,13.2,16.09,12.28,13.35
MCHenriques,INT,KXIP,10.0,57.0,0.0,9.0,50.0,0.0,207.0,969.0,0.0,62*,254.0,0.0,41.4,178.07,0.0,148,756.0,0.0,139.86,898.9200000000001,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,9.0,87.0,0.0,9.0,27.0,0.0,252.0,1156.0,-6.0,28.0,23.12,0.0,13.26
TKCurran,INT,DC,28.0,0.0,10.0,11.0,0.0,8.0,54.0,0.0,106.0,14*,0.0,0.0,13.5,0.0,0.0,47,0.0,90.0,114.89,0.0,216.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,3.0,62.0,0.0,130.0,5.64,0.0,16.25,13.07
NMCoulter-Nile,INT,MI,15.0,26.0,7.0,9.0,12.0,2.0,100.0,52.0,25.0,34,28.0,0.0,14.28,18.66,0.0,79,50.0,15.0,126.58,442.04999999999995,166.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,4.0,5.0,4.0,0.0,117.0,57.0,33.0,13.0,4.75,16.5,12.98
BCJCutting,INT,KKR,3.0,9.0,12.0,2.0,8.0,9.0,5.0,124.0,114.0,5,67.0,0.0,5,66.0,0.0,4,66.0,75.0,125.0,520.65,271.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,6.0,0.0,10.0,9.0,6.0,165.0,136.0,3.0,20.62,15.11,12.64
CHMorris,INT,RR,15.0,48.0,22.0,9.0,29.0,15.0,105.0,439.0,112.0,55*,175.0,0.0,17.5,140.8,0.0,80,265.0,84.0,131.25,595.42,425.29999999999995,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0,10.0,33.0,6.0,4.0,23.0,7.0,129.0,542.0,134.0,14.33,18.69,8.93,12.6
SPGoswami,IND,SRH,0.0,23.0,8.0,0.0,16.0,5.0,0.0,241.0,52.0,0,149.0,0.0,0,82.88,0.0,0,251.0,44.0,0.0,467.78000000000003,130.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,26.0,6.0,0.0,2.0,1.0,0.0,275.0,50.0,0.0,17.19,10.0,12.16
HVPatel,IND,RCB,0.0,35.0,12.0,0.0,14.0,6.0,0.0,47.0,81.0,0,25.0,0.0,0,17.8,0.0,0,34.0,59.0,0.0,444.0400000000001,269.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,3.0,6.0,0.0,53.0,94.0,0.0,3.79,15.67,12.1
PJCummins,INT,KKR,15.0,15.0,14.0,5.0,10.0,11.0,23.0,77.0,146.0,13*,24.0,0.0,23,15.4,0.0,11,55.0,114.0,209.09,145.28,128.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,9.0,1.0,4.0,8.0,33.0,84.0,179.0,6.6,8.4,16.27,11.72
LHFerguson,INT,KKR,11.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,43.0,1,1.0,0.0,1,0.0,0.0,3,1.0,29.0,33.33,100.0,148.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,-5.0,1.0,51.0,-5.0,1.0,25.5,11.21
JCArcher,INT,RR,10.0,0.0,35.0,0.0,0.0,23.0,0.0,0.0,195.0,0,0.0,0.0,0,0.0,0.0,0,0.0,124.0,0.0,0.0,418.28000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,14.0,-6.0,0.0,238.0,0.0,0.0,10.35,10.35
RAshwin,IND,DC,7.0,111.0,43.0,2.0,37.0,21.0,16.0,231.0,181.0,11*,106.0,0.0,0,84.08,0.0,9,240.0,133.0,177.77,723.47,402.47999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,22.0,13.0,0.0,2.0,9.0,24.0,243.0,206.0,12.0,6.57,9.81,9.79
