Player_name,NATIONALITY,team_name,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes,dream_11_points,consistency
SandeepSharma,IND,SRH,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNadeem,IND,SRH,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPGoswami,IND,SRH,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKaul,IND,SRH,2018-2019,3.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0
KhaleelAhmed,IND,SRH,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNatarajan,IND,SRH,2020-2020,3.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0
VShankar,IND,SRH,2018-2019,9.0,4.0,0,101.0,43,25.25,73,138.35,0.0,0.0,0.0,11.0,5.0,124.0,31.0
VRVSingh,IND,SRH,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WPSaha,IND,SRH,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JagadeeshaSuchith,IND,SRH,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMJadhav,IND,SRH,2016-2017,7.0,4.0,0,108.0,58,27,86,125.58,0.0,1.0,0.0,11.0,3.0,133.0,33.25
MujeebUrRahman,INT,SRH,2018-2020,19.0,3.0,3,8.0,8*,0,8,100.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0
